Model already exists: ../epd-solver/src/imagenet64/edm-imagenet-64x64-cond-adm.pkl
Loading the pre-trained diffusion model from "../epd-solver/src/imagenet64/edm-imagenet-64x64-cond-adm.pkl"...
Constructing predictor...
Setting up optimizer...
Using Cosince Annealing Learning Rate
Training for 10 kimg...

/root/autodl-tmp/epd-solver/solver_utils.py:38: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_d = 2 * (np.log(torch.tensor(sigma_min).cpu() ** 2 + 1) / epsilon_s - np.log(torch.tensor(sigma_max).cpu() ** 2 + 1)) / (epsilon_s - 1)
/root/autodl-tmp/epd-solver/solver_utils.py:39: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_min = np.log(torch.tensor(sigma_max).cpu() ** 2 + 1) - 0.5 * vp_beta_d
Step: 0 | Loss: 169.7439 | w0: 0.5612 | w1: 0.4388 | r0: 0.3078 | r1: 0.6019 | st0: 0.9733 | st1: 0.9569 | sd0: 0.9880 | sd1: 0.9882 | lr : 0.20000000 
Step: 1 | Loss:  66.7849 | w0: 0.4163 | w1: 0.5837 | r0: 0.2179 | r1: 0.5818 | st0: 1.0483 | st1: 0.9845 | sd0: 1.0009 | sd1: 1.0176 | lr : 0.20000000 
Step: 2 | Loss: 210.9135 | w0: 0.5610 | w1: 0.4390 | r0: 0.5839 | r1: 0.3445 | st0: 1.0183 | st1: 0.9809 | sd0: 0.9779 | sd1: 1.0043 | lr : 0.20000000 
tick 0     kimg 0.0       time 11s          sec/tick 5.5     sec/kimg 341.08  maintenance 6.0    gpumem 18.44  reserved 18.50 
Step: 0 | Loss:  30.6944 | w0: 0.7470 | w1: 0.2530 | r0: 0.2222 | r1: 0.5002 | st0: 0.9925 | st1: 0.9740 | sd0: 0.9946 | sd1: 0.9948 | lr : 0.19999880 
Step: 1 | Loss:   8.7811 | w0: 0.6197 | w1: 0.3803 | r0: 0.1562 | r1: 0.4732 | st0: 1.0497 | st1: 1.0004 | sd0: 1.0065 | sd1: 1.0223 | lr : 0.19999880 
Step: 2 | Loss: 181.7566 | w0: 0.4022 | w1: 0.5978 | r0: 0.5044 | r1: 0.2760 | st0: 1.0341 | st1: 0.9969 | sd0: 0.9813 | sd1: 1.0083 | lr : 0.19999880 
Step: 0 | Loss:   4.2273 | w0: 0.7532 | w1: 0.2468 | r0: 0.2058 | r1: 0.4962 | st0: 0.9894 | st1: 0.9678 | sd0: 1.0003 | sd1: 1.0003 | lr : 0.19999521 
Step: 1 | Loss:   7.9674 | w0: 0.7702 | w1: 0.2298 | r0: 0.1163 | r1: 0.3829 | st0: 1.0550 | st1: 1.0144 | sd0: 1.0107 | sd1: 1.0257 | lr : 0.19999521 
Step: 2 | Loss: 168.6259 | w0: 0.2766 | w1: 0.7234 | r0: 0.4356 | r1: 0.2194 | st0: 1.0503 | st1: 1.0109 | sd0: 0.9846 | sd1: 1.0117 | lr : 0.19999521 
Step: 0 | Loss:  25.5834 | w0: 0.7239 | w1: 0.2761 | r0: 0.2142 | r1: 0.5035 | st0: 0.9800 | st1: 0.9608 | sd0: 1.0042 | sd1: 1.0045 | lr : 0.19998923 
Step: 1 | Loss:  12.5516 | w0: 0.8403 | w1: 0.1597 | r0: 0.0949 | r1: 0.3245 | st0: 1.0593 | st1: 1.0203 | sd0: 1.0131 | sd1: 1.0278 | lr : 0.19998923 
Step: 2 | Loss: 173.9167 | w0: 0.1665 | w1: 0.8335 | r0: 0.3692 | r1: 0.2115 | st0: 1.0443 | st1: 1.0112 | sd0: 0.9833 | sd1: 1.0137 | lr : 0.19998923 
Step: 0 | Loss:  45.9655 | w0: 0.7251 | w1: 0.2749 | r0: 0.2058 | r1: 0.4989 | st0: 0.9737 | st1: 0.9556 | sd0: 1.0060 | sd1: 1.0066 | lr : 0.19998086 
Step: 1 | Loss:  17.1519 | w0: 0.8613 | w1: 0.1387 | r0: 0.0833 | r1: 0.2952 | st0: 1.0528 | st1: 1.0150 | sd0: 1.0143 | sd1: 1.0291 | lr : 0.19998086 
Step: 2 | Loss: 217.9311 | w0: 0.1048 | w1: 0.8952 | r0: 0.3299 | r1: 0.2092 | st0: 1.0313 | st1: 1.0102 | sd0: 0.9818 | sd1: 1.0143 | lr : 0.19998086 
Step: 0 | Loss:  45.0763 | w0: 0.7167 | w1: 0.2833 | r0: 0.1920 | r1: 0.5220 | st0: 0.9660 | st1: 0.9462 | sd0: 1.0060 | sd1: 1.0069 | lr : 0.19997009 
Step: 1 | Loss:  13.2376 | w0: 0.8688 | w1: 0.1312 | r0: 0.0739 | r1: 0.2802 | st0: 1.0390 | st1: 1.0042 | sd0: 1.0140 | sd1: 1.0299 | lr : 0.19997009 
Step: 2 | Loss: 217.2594 | w0: 0.0755 | w1: 0.9245 | r0: 0.3126 | r1: 0.2027 | st0: 1.0150 | st1: 1.0058 | sd0: 0.9796 | sd1: 1.0118 | lr : 0.19997009 
Step: 0 | Loss:  33.8178 | w0: 0.6914 | w1: 0.3086 | r0: 0.1883 | r1: 0.5563 | st0: 0.9577 | st1: 0.9368 | sd0: 1.0049 | sd1: 1.0059 | lr : 0.19995694 
Step: 1 | Loss:  12.0421 | w0: 0.8771 | w1: 0.1229 | r0: 0.0671 | r1: 0.2698 | st0: 1.0262 | st1: 0.9962 | sd0: 1.0131 | sd1: 1.0303 | lr : 0.19995694 
Step: 2 | Loss: 157.4362 | w0: 0.0576 | w1: 0.9424 | r0: 0.3019 | r1: 0.1789 | st0: 0.9982 | st1: 1.0034 | sd0: 0.9775 | sd1: 1.0085 | lr : 0.19995694 
Step: 0 | Loss:  21.1207 | w0: 0.6734 | w1: 0.3266 | r0: 0.1735 | r1: 0.5996 | st0: 0.9519 | st1: 0.9254 | sd0: 1.0033 | sd1: 1.0044 | lr : 0.19994139 
Step: 1 | Loss:  10.1629 | w0: 0.8895 | w1: 0.1105 | r0: 0.0612 | r1: 0.2615 | st0: 1.0191 | st1: 0.9919 | sd0: 1.0118 | sd1: 1.0306 | lr : 0.19994139 
Step: 2 | Loss: 197.5452 | w0: 0.0455 | w1: 0.9545 | r0: 0.2880 | r1: 0.1550 | st0: 0.9869 | st1: 1.0020 | sd0: 0.9757 | sd1: 1.0051 | lr : 0.19994139 
Step: 0 | Loss:   7.6714 | w0: 0.7474 | w1: 0.2526 | r0: 0.1416 | r1: 0.6074 | st0: 0.9557 | st1: 0.9192 | sd0: 1.0017 | sd1: 1.0028 | lr : 0.19992345 
Step: 1 | Loss:   5.6312 | w0: 0.9070 | w1: 0.0930 | r0: 0.0551 | r1: 0.2539 | st0: 1.0138 | st1: 0.9886 | sd0: 1.0102 | sd1: 1.0307 | lr : 0.19992345 
Step: 2 | Loss: 205.6228 | w0: 0.0392 | w1: 0.9608 | r0: 0.2822 | r1: 0.1368 | st0: 0.9740 | st1: 0.9965 | sd0: 0.9740 | sd1: 1.0008 | lr : 0.19992345 
Step: 0 | Loss:   1.7458 | w0: 0.7971 | w1: 0.2029 | r0: 0.1196 | r1: 0.6191 | st0: 0.9604 | st1: 0.9145 | sd0: 0.9999 | sd1: 1.0009 | lr : 0.19990312 
Step: 1 | Loss:   3.9178 | w0: 0.9227 | w1: 0.0773 | r0: 0.0496 | r1: 0.2492 | st0: 1.0071 | st1: 0.9856 | sd0: 1.0082 | sd1: 1.0306 | lr : 0.19990312 
Step: 2 | Loss: 162.4402 | w0: 0.0363 | w1: 0.9637 | r0: 0.2814 | r1: 0.1246 | st0: 0.9614 | st1: 0.9885 | sd0: 0.9725 | sd1: 0.9959 | lr : 0.19990312 
Step: 0 | Loss:   4.2212 | w0: 0.7906 | w1: 0.2094 | r0: 0.1076 | r1: 0.6469 | st0: 0.9609 | st1: 0.9061 | sd0: 0.9981 | sd1: 0.9991 | lr : 0.19988039 
Step: 1 | Loss:   1.7998 | w0: 0.9338 | w1: 0.0662 | r0: 0.0468 | r1: 0.2495 | st0: 1.0016 | st1: 0.9820 | sd0: 1.0054 | sd1: 1.0305 | lr : 0.19988039 
Step: 2 | Loss: 101.2155 | w0: 0.0365 | w1: 0.9635 | r0: 0.2863 | r1: 0.1229 | st0: 0.9482 | st1: 0.9758 | sd0: 0.9711 | sd1: 0.9907 | lr : 0.19988039 
Step: 0 | Loss:  20.7349 | w0: 0.7324 | w1: 0.2676 | r0: 0.1061 | r1: 0.6856 | st0: 0.9598 | st1: 0.8950 | sd0: 0.9959 | sd1: 0.9973 | lr : 0.19985528 
Step: 1 | Loss:   6.1882 | w0: 0.9456 | w1: 0.0544 | r0: 0.0481 | r1: 0.2519 | st0: 0.9906 | st1: 0.9780 | sd0: 1.0014 | sd1: 1.0302 | lr : 0.19985528 
Step: 2 | Loss: 115.2584 | w0: 0.0412 | w1: 0.9588 | r0: 0.3083 | r1: 0.1137 | st0: 0.9307 | st1: 0.9579 | sd0: 0.9690 | sd1: 0.9857 | lr : 0.19985528 
Step: 0 | Loss:  47.8851 | w0: 0.6381 | w1: 0.3619 | r0: 0.1086 | r1: 0.7305 | st0: 0.9587 | st1: 0.8841 | sd0: 0.9940 | sd1: 0.9958 | lr : 0.19982778 
Step: 1 | Loss:   8.3864 | w0: 0.9520 | w1: 0.0480 | r0: 0.0500 | r1: 0.2538 | st0: 0.9806 | st1: 0.9752 | sd0: 0.9986 | sd1: 1.0300 | lr : 0.19982778 
Step: 2 | Loss: 146.0070 | w0: 0.0407 | w1: 0.9593 | r0: 0.3125 | r1: 0.1042 | st0: 0.9273 | st1: 0.9601 | sd0: 0.9680 | sd1: 0.9836 | lr : 0.19982778 
Step: 0 | Loss:  57.0610 | w0: 0.5969 | w1: 0.4031 | r0: 0.1090 | r1: 0.7461 | st0: 0.9570 | st1: 0.8790 | sd0: 0.9934 | sd1: 0.9958 | lr : 0.19979789 
