Model already exists: ../EPD/src/cifar10/edm-cifar10-32x32-uncond-vp.pkl
Loading the pre-trained diffusion model from "../EPD/src/cifar10/edm-cifar10-32x32-uncond-vp.pkl"...
/home/perry/miniconda3/envs/edm/lib/python3.9/site-packages/torch/distributed/distributed_c10d.py:4807: UserWarning: No device id is provided via `init_process_group` or `barrier `. Using the current device set by the user. 
  warnings.warn(  # warn only once
Constructing predictor...
Setting up optimizer...
Training for 10 kimg...

/home/perry/ziyul6/EPD/solver_utils.py:38: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.detach().clone() or sourceTensor.detach().clone().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_d = 2 * (np.log(torch.tensor(sigma_min).cpu() ** 2 + 1) / epsilon_s - np.log(torch.tensor(sigma_max).cpu() ** 2 + 1)) / (epsilon_s - 1)
/home/perry/ziyul6/EPD/solver_utils.py:39: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.detach().clone() or sourceTensor.detach().clone().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_min = np.log(torch.tensor(sigma_max).cpu() ** 2 + 1) - 0.5 * vp_beta_d
Step: 0 | Loss:   2.6404 | w0: 0.5000 | w1: 0.5000 | sig0: 0.0500 | sig1: 0.0500 | lr : 0.00500000 
Step: 1 | Loss:   2.5409 | w0: 0.5000 | w1: 0.5000 | sig0: 0.0500 | sig1: 0.0500 | lr : 0.00500000 
Step: 2 | Loss:   3.6357 | w0: 0.5000 | w1: 0.5000 | sig0: 0.0500 | sig1: 0.0500 | lr : 0.00500000 
Step: 3 | Loss: 109.9057 | w0: 0.5000 | w1: 0.5000 | sig0: 0.0500 | sig1: 0.0500 | lr : 0.00500000 
tick 0     kimg 0.0       time 12s          sec/tick 10.7    sec/kimg 1340.60 maintenance 0.8    gpumem 6.62   reserved 6.73  
Step: 0 | Loss:   2.4815 | w0: 0.5063 | w1: 0.4937 | sig0: 0.0496 | sig1: 0.0497 | lr : 0.00500000 
Step: 1 | Loss:   2.2746 | w0: 0.5067 | w1: 0.4933 | sig0: 0.0497 | sig1: 0.0497 | lr : 0.00500000 
Step: 2 | Loss:   3.0307 | w0: 0.5021 | w1: 0.4979 | sig0: 0.0501 | sig1: 0.0497 | lr : 0.00500000 
Step: 3 | Loss:  98.9557 | w0: 0.5047 | w1: 0.4953 | sig0: 0.0498 | sig1: 0.0498 | lr : 0.00500000 
Step: 0 | Loss:   2.2470 | w0: 0.5028 | w1: 0.4972 | sig0: 0.0493 | sig1: 0.0496 | lr : 0.00500000 
Step: 1 | Loss:   2.2825 | w0: 0.5084 | w1: 0.4916 | sig0: 0.0494 | sig1: 0.0495 | lr : 0.00500000 
Step: 2 | Loss:   3.2224 | w0: 0.5056 | w1: 0.4944 | sig0: 0.0503 | sig1: 0.0496 | lr : 0.00500000 
Step: 3 | Loss: 111.6527 | w0: 0.5020 | w1: 0.4980 | sig0: 0.0495 | sig1: 0.0495 | lr : 0.00500000 
