Model already exists: ../epd-solver/src/imagenet64/edm-imagenet-64x64-cond-adm.pkl
Loading the pre-trained diffusion model from "../epd-solver/src/imagenet64/edm-imagenet-64x64-cond-adm.pkl"...
Constructing predictor...
Setting up optimizer...
Using Cosince Annealing Learning Rate
Training for 10 kimg...

/root/autodl-tmp/epd-solver/solver_utils.py:38: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_d = 2 * (np.log(torch.tensor(sigma_min).cpu() ** 2 + 1) / epsilon_s - np.log(torch.tensor(sigma_max).cpu() ** 2 + 1)) / (epsilon_s - 1)
/root/autodl-tmp/epd-solver/solver_utils.py:39: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_min = np.log(torch.tensor(sigma_max).cpu() ** 2 + 1) - 0.5 * vp_beta_d
Step: 0 | Loss:  12.3447 | w0: 0.8896 | w1: 0.1104 | r0: 0.3078 | r1: 0.6019 | st0: 1.0183 | st1: 0.9809 | sd0: 1.0009 | sd1: 1.0176 | lr : 0.20000000 
Step: 1 | Loss:   5.0649 | w0: 0.8635 | w1: 0.1365 | r0: 0.2179 | r1: 0.5818 | st0: 0.9768 | st1: 0.9648 | sd0: 0.9779 | sd1: 1.0043 | lr : 0.20000000 
Step: 2 | Loss:   6.8146 | w0: 0.1764 | w1: 0.8236 | r0: 0.5839 | r1: 0.3445 | st0: 1.0350 | st1: 1.0511 | sd0: 0.9933 | sd1: 0.9892 | lr : 0.20000000 
Step: 3 | Loss: 111.1600 | w0: 0.3866 | w1: 0.6134 | r0: 0.2738 | r1: 0.2770 | st0: 0.9980 | st1: 0.9858 | sd0: 1.0121 | sd1: 0.9961 | lr : 0.20000000 
tick 0     kimg 0.0       time 15s          sec/tick 7.2     sec/kimg 448.14  maintenance 7.7    gpumem 16.43  reserved 16.51 
Step: 0 | Loss:   2.1421 | w0: 0.9336 | w1: 0.0664 | r0: 0.2188 | r1: 0.5092 | st0: 1.0336 | st1: 0.9762 | sd0: 0.9977 | sd1: 1.0146 | lr : 0.19999880 
Step: 1 | Loss:   4.9914 | w0: 0.6837 | w1: 0.3163 | r0: 0.3231 | r1: 0.7043 | st0: 0.9484 | st1: 0.9595 | sd0: 0.9836 | sd1: 1.0109 | lr : 0.19999880 
Step: 2 | Loss:   5.1090 | w0: 0.0832 | w1: 0.9168 | r0: 0.4773 | r1: 0.2547 | st0: 1.0432 | st1: 1.0590 | sd0: 0.9987 | sd1: 0.9944 | lr : 0.19999880 
Step: 3 | Loss:  43.8902 | w0: 0.5707 | w1: 0.4293 | r0: 0.2061 | r1: 0.2088 | st0: 1.0166 | st1: 1.0044 | sd0: 1.0163 | sd1: 1.0008 | lr : 0.19999880 
Step: 0 | Loss:  18.9271 | w0: 0.8755 | w1: 0.1245 | r0: 0.2781 | r1: 0.5947 | st0: 1.0151 | st1: 0.9581 | sd0: 1.0022 | sd1: 1.0185 | lr : 0.19999521 
Step: 1 | Loss:  12.0813 | w0: 0.5178 | w1: 0.4822 | r0: 0.3868 | r1: 0.7500 | st0: 0.9546 | st1: 0.9809 | sd0: 0.9875 | sd1: 1.0154 | lr : 0.19999521 
