Model already exists: ../epd-solver/src/ffhq/edm-ffhq-64x64-uncond-vp.pkl
Loading the pre-trained diffusion model from "../epd-solver/src/ffhq/edm-ffhq-64x64-uncond-vp.pkl"...
Constructing predictor...
Setting up optimizer...
/root/autodl-tmp/conda_envs/epd/lib/python3.9/site-packages/torchvision/io/image.py:13: UserWarning: Failed to load image Python extension: /root/autodl-tmp/conda_envs/epd/lib/python3.9/site-packages/torchvision/image.so: undefined symbol: _ZN3c1017RegisterOperatorsD1Ev
  warn(f"Failed to load image Python extension: {e}")
Using Cosince Annealing Learning Rate
Training for 10 kimg...

Step: 0 | Loss:  88.7805 | w0: 0.5839 | w1: 0.4161 | r0: 0.3078 | r1: 0.6019 | st0: 1.0009 | st1: 1.0176 | sd0: 1.0042 | sd1: 0.9920 | lr : 0.20000000 
Step: 1 | Loss: 131.9686 | w0: 0.7850 | w1: 0.2150 | r0: 0.2179 | r1: 0.5818 | st0: 0.9779 | st1: 1.0043 | sd0: 0.9880 | sd1: 0.9882 | lr : 0.20000000 
tick 0     kimg 0.0       time 7s           sec/tick 4.1     sec/kimg 258.21  maintenance 3.1    gpumem 8.58   reserved 8.60  
Step: 0 | Loss:  68.3285 | w0: 0.6768 | w1: 0.3232 | r0: 0.2669 | r1: 0.5531 | st0: 1.0034 | st1: 1.0197 | sd0: 1.0067 | sd1: 0.9945 | lr : 0.19999880 
Step: 1 | Loss: 133.2268 | w0: 0.8449 | w1: 0.1551 | r0: 0.1858 | r1: 0.5325 | st0: 0.9800 | st1: 1.0068 | sd0: 0.9904 | sd1: 0.9906 | lr : 0.19999880 
Step: 0 | Loss:  58.6193 | w0: 0.7334 | w1: 0.2666 | r0: 0.2437 | r1: 0.5101 | st0: 1.0053 | st1: 1.0217 | sd0: 1.0083 | sd1: 0.9961 | lr : 0.19999521 
Step: 1 | Loss:  79.4596 | w0: 0.8813 | w1: 0.1187 | r0: 0.1650 | r1: 0.4938 | st0: 0.9815 | st1: 1.0085 | sd0: 0.9925 | sd1: 0.9927 | lr : 0.19999521 
Step: 0 | Loss:  69.0786 | w0: 0.7702 | w1: 0.2298 | r0: 0.2213 | r1: 0.4815 | st0: 1.0067 | st1: 1.0231 | sd0: 1.0092 | sd1: 0.9972 | lr : 0.19998923 
Step: 1 | Loss: 119.8559 | w0: 0.9054 | w1: 0.0946 | r0: 0.1459 | r1: 0.4633 | st0: 0.9825 | st1: 1.0091 | sd0: 0.9926 | sd1: 0.9927 | lr : 0.19998923 
Step: 0 | Loss:  87.0484 | w0: 0.7974 | w1: 0.2026 | r0: 0.1999 | r1: 0.4629 | st0: 1.0079 | st1: 1.0241 | sd0: 1.0099 | sd1: 0.9981 | lr : 0.19998086 
Step: 1 | Loss: 151.0441 | w0: 0.9203 | w1: 0.0797 | r0: 0.1350 | r1: 0.4417 | st0: 0.9833 | st1: 1.0096 | sd0: 0.9925 | sd1: 0.9927 | lr : 0.19998086 
Step: 0 | Loss:  94.6933 | w0: 0.8192 | w1: 0.1808 | r0: 0.1797 | r1: 0.4442 | st0: 1.0090 | st1: 1.0249 | sd0: 1.0103 | sd1: 0.9988 | lr : 0.19997009 
Step: 1 | Loss:  84.3978 | w0: 0.9298 | w1: 0.0702 | r0: 0.1286 | r1: 0.4261 | st0: 0.9839 | st1: 1.0100 | sd0: 0.9925 | sd1: 0.9928 | lr : 0.19997009 
