Model already exists: ../EPD/src/cifar10/edm-cifar10-32x32-uncond-vp.pkl
Loading the pre-trained diffusion model from "../EPD/src/cifar10/edm-cifar10-32x32-uncond-vp.pkl"...
/home/perry/miniconda3/envs/edm/lib/python3.9/site-packages/torch/distributed/distributed_c10d.py:4807: UserWarning: No device id is provided via `init_process_group` or `barrier `. Using the current device set by the user. 
  warnings.warn(  # warn only once
Constructing predictor...
Setting up optimizer...
Training for 10 kimg...

/home/perry/ziyul6/EPD/solver_utils.py:38: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.detach().clone() or sourceTensor.detach().clone().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_d = 2 * (np.log(torch.tensor(sigma_min).cpu() ** 2 + 1) / epsilon_s - np.log(torch.tensor(sigma_max).cpu() ** 2 + 1)) / (epsilon_s - 1)
/home/perry/ziyul6/EPD/solver_utils.py:39: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.detach().clone() or sourceTensor.detach().clone().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_min = np.log(torch.tensor(sigma_max).cpu() ** 2 + 1) - 0.5 * vp_beta_d
Step: 0 | Loss:   4.6182 | w0: 0.5000 | w1: 0.5000 | sig0: 0.0500 | sig1: 0.0500 | lr : 0.00500000 
Step: 1 | Loss:   5.8810 | w0: 0.5000 | w1: 0.5000 | sig0: 0.0500 | sig1: 0.0500 | lr : 0.00500000 
Step: 2 | Loss: 106.0302 | w0: 0.5000 | w1: 0.5000 | sig0: 0.0500 | sig1: 0.0500 | lr : 0.00500000 
tick 0     kimg 0.0       time 12s          sec/tick 10.3    sec/kimg 1291.13 maintenance 1.3    gpumem 6.33   reserved 6.36  
Step: 0 | Loss:   5.2199 | w0: 0.4963 | w1: 0.5037 | sig0: 0.0498 | sig1: 0.0497 | lr : 0.00500000 
Step: 1 | Loss:   5.0271 | w0: 0.5010 | w1: 0.4990 | sig0: 0.0500 | sig1: 0.0500 | lr : 0.00500000 
Step: 2 | Loss: 111.4666 | w0: 0.4960 | w1: 0.5040 | sig0: 0.0498 | sig1: 0.0502 | lr : 0.00500000 
Step: 0 | Loss:   4.9784 | w0: 0.5006 | w1: 0.4994 | sig0: 0.0497 | sig1: 0.0495 | lr : 0.00500000 
Step: 1 | Loss:   6.1998 | w0: 0.5052 | w1: 0.4948 | sig0: 0.0502 | sig1: 0.0501 | lr : 0.00500000 
Step: 2 | Loss: 101.5247 | w0: 0.4975 | w1: 0.5025 | sig0: 0.0496 | sig1: 0.0500 | lr : 0.00500000 
Step: 0 | Loss:   3.9213 | w0: 0.5024 | w1: 0.4976 | sig0: 0.0496 | sig1: 0.0493 | lr : 0.00500000 
Step: 1 | Loss:   4.9939 | w0: 0.5093 | w1: 0.4907 | sig0: 0.0503 | sig1: 0.0502 | lr : 0.00500000 
Step: 2 | Loss:  99.7892 | w0: 0.5003 | w1: 0.4997 | sig0: 0.0494 | sig1: 0.0499 | lr : 0.00500000 
Step: 0 | Loss:   4.9872 | w0: 0.5008 | w1: 0.4992 | sig0: 0.0494 | sig1: 0.0492 | lr : 0.00500000 
Step: 1 | Loss:   6.1178 | w0: 0.5092 | w1: 0.4908 | sig0: 0.0504 | sig1: 0.0503 | lr : 0.00500000 
Step: 2 | Loss: 114.3142 | w0: 0.5031 | w1: 0.4969 | sig0: 0.0492 | sig1: 0.0497 | lr : 0.00500000 
Step: 0 | Loss:   3.1141 | w0: 0.5006 | w1: 0.4994 | sig0: 0.0493 | sig1: 0.0491 | lr : 0.00500000 
Step: 1 | Loss:   4.3742 | w0: 0.5090 | w1: 0.4910 | sig0: 0.0505 | sig1: 0.0504 | lr : 0.00500000 
Step: 2 | Loss: 107.8633 | w0: 0.5061 | w1: 0.4939 | sig0: 0.0491 | sig1: 0.0495 | lr : 0.00500000 
Step: 0 | Loss:   3.6776 | w0: 0.5029 | w1: 0.4971 | sig0: 0.0493 | sig1: 0.0490 | lr : 0.00500000 
Step: 1 | Loss:   4.0857 | w0: 0.5099 | w1: 0.4901 | sig0: 0.0506 | sig1: 0.0504 | lr : 0.00500000 
Step: 2 | Loss: 112.1568 | w0: 0.5088 | w1: 0.4912 | sig0: 0.0489 | sig1: 0.0494 | lr : 0.00500000 
Step: 0 | Loss:   6.3230 | w0: 0.5047 | w1: 0.4953 | sig0: 0.0493 | sig1: 0.0488 | lr : 0.00500000 
Step: 1 | Loss:   5.6847 | w0: 0.5104 | w1: 0.4896 | sig0: 0.0507 | sig1: 0.0505 | lr : 0.00500000 
