Model already exists: ../EPD/src/cifar10/edm-cifar10-32x32-uncond-vp.pkl
Loading the pre-trained diffusion model from "../EPD/src/cifar10/edm-cifar10-32x32-uncond-vp.pkl"...
/home/perry/miniconda3/envs/edm/lib/python3.9/site-packages/torch/distributed/distributed_c10d.py:4807: UserWarning: No device id is provided via `init_process_group` or `barrier `. Using the current device set by the user. 
  warnings.warn(  # warn only once
Constructing predictor...
Setting up optimizer...
Training for 10 kimg...

/home/perry/ziyul6/EPD/solver_utils.py:38: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.detach().clone() or sourceTensor.detach().clone().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_d = 2 * (np.log(torch.tensor(sigma_min).cpu() ** 2 + 1) / epsilon_s - np.log(torch.tensor(sigma_max).cpu() ** 2 + 1)) / (epsilon_s - 1)
/home/perry/ziyul6/EPD/solver_utils.py:39: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.detach().clone() or sourceTensor.detach().clone().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_min = np.log(torch.tensor(sigma_max).cpu() ** 2 + 1) - 0.5 * vp_beta_d
Step: 2 | Loss: 114.8897 | w0: 0.4938 | w1: 0.5062 | sig0: 0.0482 | sig1: 0.0482 | lr : 0.00500000 
Step: 0 | Loss:   3.0093 | w0: 0.5108 | w1: 0.4892 | sig0: 0.0480 | sig1: 0.0475 | lr : 0.00500000 
Step: 1 | Loss:   3.8623 | w0: 0.4938 | w1: 0.5062 | sig0: 0.0483 | sig1: 0.0491 | lr : 0.00500000 
Step: 2 | Loss: 118.8655 | w0: 0.4942 | w1: 0.5058 | sig0: 0.0480 | sig1: 0.0480 | lr : 0.00500000 
Step: 0 | Loss:   5.6198 | w0: 0.5077 | w1: 0.4923 | sig0: 0.0478 | sig1: 0.0474 | lr : 0.00500000 
Step: 1 | Loss:   6.9927 | w0: 0.4932 | w1: 0.5068 | sig0: 0.0482 | sig1: 0.0491 | lr : 0.00500000 
Step: 2 | Loss: 115.0131 | w0: 0.4948 | w1: 0.5052 | sig0: 0.0478 | sig1: 0.0477 | lr : 0.00500000 
Step: 0 | Loss:   4.6678 | w0: 0.5051 | w1: 0.4949 | sig0: 0.0477 | sig1: 0.0474 | lr : 0.00500000 
Step: 1 | Loss:   6.1633 | w0: 0.4917 | w1: 0.5083 | sig0: 0.0482 | sig1: 0.0491 | lr : 0.00500000 
Step: 2 | Loss: 115.2716 | w0: 0.4972 | w1: 0.5028 | sig0: 0.0476 | sig1: 0.0475 | lr : 0.00500000 
Step: 0 | Loss:   4.1713 | w0: 0.5028 | w1: 0.4972 | sig0: 0.0476 | sig1: 0.0473 | lr : 0.00500000 
Step: 1 | Loss:   4.8214 | w0: 0.4912 | w1: 0.5088 | sig0: 0.0482 | sig1: 0.0492 | lr : 0.00500000 
Step: 2 | Loss:  99.0259 | w0: 0.5014 | w1: 0.4986 | sig0: 0.0474 | sig1: 0.0472 | lr : 0.00500000 
Step: 0 | Loss:   3.4650 | w0: 0.5011 | w1: 0.4989 | sig0: 0.0474 | sig1: 0.0472 | lr : 0.00500000 
Step: 1 | Loss:   3.8579 | w0: 0.4922 | w1: 0.5078 | sig0: 0.0483 | sig1: 0.0492 | lr : 0.00500000 
Step: 2 | Loss:  95.2538 | w0: 0.5044 | w1: 0.4956 | sig0: 0.0473 | sig1: 0.0470 | lr : 0.00500000 
Step: 0 | Loss:   3.4908 | w0: 0.5006 | w1: 0.4994 | sig0: 0.0473 | sig1: 0.0471 | lr : 0.00500000 
Step: 1 | Loss:   3.8047 | w0: 0.4918 | w1: 0.5082 | sig0: 0.0483 | sig1: 0.0492 | lr : 0.00500000 
Step: 2 | Loss: 109.2608 | w0: 0.5080 | w1: 0.4920 | sig0: 0.0472 | sig1: 0.0467 | lr : 0.00500000 
Step: 0 | Loss:   6.3099 | w0: 0.5028 | w1: 0.4972 | sig0: 0.0472 | sig1: 0.0469 | lr : 0.00500000 
