Model already exists: ../epd-solver/src/ffhq/edm-ffhq-64x64-uncond-vp.pkl
Loading the pre-trained diffusion model from "../epd-solver/src/ffhq/edm-ffhq-64x64-uncond-vp.pkl"...
Constructing predictor...
Setting up optimizer...
/root/autodl-tmp/conda_envs/epd/lib/python3.9/site-packages/torchvision/io/image.py:13: UserWarning: Failed to load image Python extension: /root/autodl-tmp/conda_envs/epd/lib/python3.9/site-packages/torchvision/image.so: undefined symbol: _ZN3c1017RegisterOperatorsD1Ev
  warn(f"Failed to load image Python extension: {e}")
Using Cosince Annealing Learning Rate
Training for 10 kimg...

Step: 1 | Loss:   4.4265 | w0: 0.7499 | w1: 0.2501 | r0: 0.1271 | r1: 0.3630 | st0: 1.0197 | st1: 1.0077 | sd0: 1.0075 | sd1: 1.0251 | lr : 0.19992345 
Step: 2 | Loss: 114.8747 | w0: 0.1174 | w1: 0.8826 | r0: 0.2996 | r1: 0.1334 | st0: 1.0129 | st1: 1.0014 | sd0: 0.9811 | sd1: 1.0072 | lr : 0.19992345 
Step: 0 | Loss:  34.9408 | w0: 0.9419 | w1: 0.0581 | r0: 0.0989 | r1: 0.3447 | st0: 1.0042 | st1: 0.9987 | sd0: 0.9939 | sd1: 1.0001 | lr : 0.19990312 
Step: 1 | Loss:   4.5355 | w0: 0.7776 | w1: 0.2224 | r0: 0.1377 | r1: 0.3659 | st0: 1.0195 | st1: 1.0081 | sd0: 1.0062 | sd1: 1.0246 | lr : 0.19990312 
Step: 2 | Loss:  59.4223 | w0: 0.1107 | w1: 0.8893 | r0: 0.2874 | r1: 0.1278 | st0: 1.0119 | st1: 0.9999 | sd0: 0.9797 | sd1: 1.0053 | lr : 0.19990312 
Step: 0 | Loss:  49.2878 | w0: 0.9477 | w1: 0.0523 | r0: 0.0958 | r1: 0.3402 | st0: 1.0032 | st1: 0.9982 | sd0: 0.9927 | sd1: 1.0002 | lr : 0.19988039 
Step: 1 | Loss:   3.9307 | w0: 0.8074 | w1: 0.1926 | r0: 0.1497 | r1: 0.3694 | st0: 1.0189 | st1: 1.0083 | sd0: 1.0047 | sd1: 1.0241 | lr : 0.19988039 
Step: 2 | Loss:  39.2434 | w0: 0.1064 | w1: 0.8936 | r0: 0.2781 | r1: 0.1247 | st0: 1.0109 | st1: 0.9982 | sd0: 0.9784 | sd1: 1.0034 | lr : 0.19988039 
Step: 0 | Loss:  60.4458 | w0: 0.9524 | w1: 0.0476 | r0: 0.0917 | r1: 0.3359 | st0: 1.0025 | st1: 0.9976 | sd0: 0.9919 | sd1: 1.0004 | lr : 0.19985528 
Step: 1 | Loss:   2.8414 | w0: 0.8188 | w1: 0.1812 | r0: 0.1658 | r1: 0.3755 | st0: 1.0187 | st1: 1.0085 | sd0: 1.0037 | sd1: 1.0237 | lr : 0.19985528 
Step: 2 | Loss:  59.3721 | w0: 0.1039 | w1: 0.8961 | r0: 0.2708 | r1: 0.1237 | st0: 1.0101 | st1: 0.9969 | sd0: 0.9773 | sd1: 1.0016 | lr : 0.19985528 
Step: 0 | Loss:  68.3458 | w0: 0.9557 | w1: 0.0443 | r0: 0.0879 | r1: 0.3323 | st0: 1.0017 | st1: 0.9971 | sd0: 0.9913 | sd1: 1.0006 | lr : 0.19982778 
Step: 1 | Loss:   3.0399 | w0: 0.8163 | w1: 0.1837 | r0: 0.1862 | r1: 0.3827 | st0: 1.0186 | st1: 1.0088 | sd0: 1.0032 | sd1: 1.0234 | lr : 0.19982778 
Step: 2 | Loss:  41.6562 | w0: 0.1017 | w1: 0.8983 | r0: 0.2650 | r1: 0.1234 | st0: 1.0095 | st1: 0.9961 | sd0: 0.9765 | sd1: 1.0006 | lr : 0.19982778 
Step: 0 | Loss:  67.3069 | w0: 0.9568 | w1: 0.0432 | r0: 0.0852 | r1: 0.3300 | st0: 1.0010 | st1: 0.9966 | sd0: 0.9914 | sd1: 1.0008 | lr : 0.19979789 
Step: 1 | Loss:   3.1994 | w0: 0.7958 | w1: 0.2042 | r0: 0.2110 | r1: 0.3900 | st0: 1.0186 | st1: 1.0091 | sd0: 1.0035 | sd1: 1.0235 | lr : 0.19979789 
Step: 2 | Loss:  60.8502 | w0: 0.0985 | w1: 0.9015 | r0: 0.2595 | r1: 0.1213 | st0: 1.0094 | st1: 0.9962 | sd0: 0.9761 | sd1: 1.0003 | lr : 0.19979789 
Step: 0 | Loss:  61.3403 | w0: 0.9565 | w1: 0.0435 | r0: 0.0840 | r1: 0.3292 | st0: 1.0001 | st1: 0.9960 | sd0: 0.9917 | sd1: 1.0011 | lr : 0.19976562 
