Model already exists: ../epd-solver/src/cifar10/edm-cifar10-32x32-uncond-vp.pkl
Loading the pre-trained diffusion model from "../epd-solver/src/cifar10/edm-cifar10-32x32-uncond-vp.pkl"...
Constructing predictor...
Setting up optimizer...
Using Cosince Annealing Learning Rate
Training for 10 kimg...

/root/autodl-tmp/epd-solver/solver_utils.py:38: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_d = 2 * (np.log(torch.tensor(sigma_min).cpu() ** 2 + 1) / epsilon_s - np.log(torch.tensor(sigma_max).cpu() ** 2 + 1)) / (epsilon_s - 1)
/root/autodl-tmp/epd-solver/solver_utils.py:39: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_min = np.log(torch.tensor(sigma_max).cpu() ** 2 + 1) - 0.5 * vp_beta_d
Step: 3 | Loss:   0.5918 | w0: 0.6293 | w1: 0.3707 | r0: 0.4437 | r1: 0.4825 | st0: 1.0259 | st1: 0.9582 | sd0: 1.0012 | sd1: 0.9940 | lr : 0.19998086 
Step: 4 | Loss:  29.7969 | w0: 0.9625 | w1: 0.0375 | r0: 0.2007 | r1: 0.5603 | st0: 0.9365 | st1: 1.0178 | sd0: 0.9957 | sd1: 0.9933 | lr : 0.19998086 
Step: 0 | Loss:  13.2685 | w0: 0.3755 | w1: 0.6245 | r0: 0.1059 | r1: 0.5490 | st0: 1.1008 | st1: 1.1041 | sd0: 0.9782 | sd1: 1.0039 | lr : 0.19997009 
Step: 1 | Loss:  10.0303 | w0: 0.2835 | w1: 0.7165 | r0: 0.1989 | r1: 0.4996 | st0: 1.0054 | st1: 0.9650 | sd0: 0.9950 | sd1: 0.9875 | lr : 0.19997009 
Step: 2 | Loss:   5.6825 | w0: 0.6677 | w1: 0.3323 | r0: 0.8005 | r1: 0.5737 | st0: 0.9863 | st1: 0.9050 | sd0: 1.0094 | sd1: 0.9945 | lr : 0.19997009 
Step: 3 | Loss:   3.8609 | w0: 0.6308 | w1: 0.3692 | r0: 0.3832 | r1: 0.4195 | st0: 1.0207 | st1: 0.9602 | sd0: 1.0003 | sd1: 0.9943 | lr : 0.19997009 
Step: 4 | Loss:  53.0227 | w0: 0.9720 | w1: 0.0280 | r0: 0.1504 | r1: 0.5320 | st0: 0.9385 | st1: 1.0145 | sd0: 0.9961 | sd1: 0.9919 | lr : 0.19997009 
Step: 0 | Loss:   9.3363 | w0: 0.3410 | w1: 0.6590 | r0: 0.0970 | r1: 0.5647 | st0: 1.1024 | st1: 1.1031 | sd0: 0.9792 | sd1: 1.0035 | lr : 0.19995694 
Step: 1 | Loss:   6.3045 | w0: 0.4088 | w1: 0.5912 | r0: 0.1832 | r1: 0.4560 | st0: 1.0045 | st1: 0.9738 | sd0: 0.9954 | sd1: 0.9877 | lr : 0.19995694 
Step: 2 | Loss:   3.2650 | w0: 0.7143 | w1: 0.2857 | r0: 0.7760 | r1: 0.4937 | st0: 0.9915 | st1: 0.9166 | sd0: 1.0096 | sd1: 0.9957 | lr : 0.19995694 
Step: 3 | Loss:   1.6770 | w0: 0.7311 | w1: 0.2689 | r0: 0.3149 | r1: 0.3197 | st0: 1.0315 | st1: 0.9797 | sd0: 1.0004 | sd1: 0.9954 | lr : 0.19995694 
Step: 4 | Loss:  38.0244 | w0: 0.9782 | w1: 0.0218 | r0: 0.1107 | r1: 0.5101 | st0: 0.9454 | st1: 1.0132 | sd0: 0.9972 | sd1: 0.9911 | lr : 0.19995694 
Step: 0 | Loss:   1.3745 | w0: 0.2584 | w1: 0.7416 | r0: 0.0869 | r1: 0.5528 | st0: 1.1057 | st1: 1.1055 | sd0: 0.9818 | sd1: 1.0043 | lr : 0.19994139 
Step: 1 | Loss:   1.4193 | w0: 0.6012 | w1: 0.3988 | r0: 0.1612 | r1: 0.4086 | st0: 1.0140 | st1: 0.9920 | sd0: 0.9967 | sd1: 0.9887 | lr : 0.19994139 
Step: 2 | Loss:   0.6553 | w0: 0.7645 | w1: 0.2355 | r0: 0.7293 | r1: 0.4033 | st0: 1.0001 | st1: 0.9290 | sd0: 1.0103 | sd1: 0.9973 | lr : 0.19994139 
Step: 3 | Loss:   0.2787 | w0: 0.8193 | w1: 0.1807 | r0: 0.2453 | r1: 0.2311 | st0: 1.0484 | st1: 1.0006 | sd0: 1.0009 | sd1: 0.9965 | lr : 0.19994139 
Step: 4 | Loss:  23.4981 | w0: 0.9810 | w1: 0.0190 | r0: 0.0842 | r1: 0.4966 | st0: 0.9551 | st1: 1.0128 | sd0: 0.9977 | sd1: 0.9906 | lr : 0.19994139 
Step: 0 | Loss:   0.9704 | w0: 0.1971 | w1: 0.8029 | r0: 0.0619 | r1: 0.4451 | st0: 1.1210 | st1: 1.1220 | sd0: 0.9845 | sd1: 1.0054 | lr : 0.19992345 
Step: 1 | Loss:   0.2348 | w0: 0.7936 | w1: 0.2064 | r0: 0.1269 | r1: 0.3568 | st0: 1.0397 | st1: 1.0205 | sd0: 0.9985 | sd1: 0.9898 | lr : 0.19992345 
Step: 2 | Loss:   0.1900 | w0: 0.7888 | w1: 0.2112 | r0: 0.6452 | r1: 0.3122 | st0: 1.0145 | st1: 0.9373 | sd0: 1.0112 | sd1: 0.9989 | lr : 0.19992345 
Step: 3 | Loss:   0.4767 | w0: 0.8593 | w1: 0.1407 | r0: 0.1730 | r1: 0.1728 | st0: 1.0564 | st1: 1.0114 | sd0: 1.0017 | sd1: 0.9975 | lr : 0.19992345 
Step: 4 | Loss:  48.5916 | w0: 0.9803 | w1: 0.0197 | r0: 0.0761 | r1: 0.4983 | st0: 0.9582 | st1: 1.0130 | sd0: 1.0010 | sd1: 0.9912 | lr : 0.19992345 
Step: 0 | Loss:   3.1841 | w0: 0.1712 | w1: 0.8288 | r0: 0.0370 | r1: 0.3122 | st0: 1.1373 | st1: 1.1382 | sd0: 0.9863 | sd1: 1.0061 | lr : 0.19990312 
Step: 1 | Loss:   0.7347 | w0: 0.8865 | w1: 0.1135 | r0: 0.0939 | r1: 0.3143 | st0: 1.0608 | st1: 1.0441 | sd0: 0.9983 | sd1: 0.9904 | lr : 0.19990312 
Step: 2 | Loss:   0.6086 | w0: 0.7925 | w1: 0.2075 | r0: 0.6502 | r1: 0.2840 | st0: 1.0151 | st1: 0.9380 | sd0: 1.0106 | sd1: 0.9988 | lr : 0.19990312 
Step: 3 | Loss:   1.0092 | w0: 0.8565 | w1: 0.1435 | r0: 0.1699 | r1: 0.1570 | st0: 1.0431 | st1: 1.0120 | sd0: 1.0005 | sd1: 0.9974 | lr : 0.19990312 
Step: 4 | Loss:  27.7656 | w0: 0.9760 | w1: 0.0240 | r0: 0.0799 | r1: 0.5151 | st0: 0.9449 | st1: 1.0061 | sd0: 0.9973 | sd1: 0.9903 | lr : 0.19990312 
Step: 0 | Loss:   1.8082 | w0: 0.1812 | w1: 0.8188 | r0: 0.0247 | r1: 0.2227 | st0: 1.1472 | st1: 1.1480 | sd0: 0.9863 | sd1: 1.0053 | lr : 0.19988039 
Step: 1 | Loss:   0.8105 | w0: 0.9114 | w1: 0.0886 | r0: 0.0758 | r1: 0.2898 | st0: 1.0673 | st1: 1.0556 | sd0: 0.9959 | sd1: 0.9905 | lr : 0.19988039 
Step: 2 | Loss:   0.8836 | w0: 0.7877 | w1: 0.2123 | r0: 0.6932 | r1: 0.2912 | st0: 1.0069 | st1: 0.9343 | sd0: 1.0095 | sd1: 0.9981 | lr : 0.19988039 
Step: 3 | Loss:   1.0906 | w0: 0.8474 | w1: 0.1526 | r0: 0.1769 | r1: 0.1528 | st0: 1.0283 | st1: 1.0097 | sd0: 0.9996 | sd1: 0.9973 | lr : 0.19988039 
Step: 4 | Loss:  51.0806 | w0: 0.9719 | w1: 0.0281 | r0: 0.0873 | r1: 0.5259 | st0: 0.9318 | st1: 1.0017 | sd0: 0.9961 | sd1: 0.9903 | lr : 0.19988039 
Step: 0 | Loss:   0.8776 | w0: 0.1893 | w1: 0.8107 | r0: 0.0196 | r1: 0.1835 | st0: 1.1514 | st1: 1.1523 | sd0: 0.9862 | sd1: 1.0047 | lr : 0.19985528 
Step: 1 | Loss:   0.7936 | w0: 0.9232 | w1: 0.0768 | r0: 0.0678 | r1: 0.2760 | st0: 1.0621 | st1: 1.0609 | sd0: 0.9949 | sd1: 0.9906 | lr : 0.19985528 
Step: 2 | Loss:   0.6562 | w0: 0.7644 | w1: 0.2356 | r0: 0.7137 | r1: 0.3051 | st0: 0.9916 | st1: 0.9265 | sd0: 1.0092 | sd1: 0.9980 | lr : 0.19985528 
Step: 3 | Loss:   1.1861 | w0: 0.8387 | w1: 0.1613 | r0: 0.1887 | r1: 0.1549 | st0: 1.0100 | st1: 1.0039 | sd0: 1.0001 | sd1: 0.9978 | lr : 0.19985528 
Step: 4 | Loss:  29.7160 | w0: 0.9666 | w1: 0.0334 | r0: 0.0847 | r1: 0.5325 | st0: 0.9286 | st1: 1.0046 | sd0: 0.9986 | sd1: 0.9920 | lr : 0.19985528 
Step: 0 | Loss:   0.8581 | w0: 0.1920 | w1: 0.8080 | r0: 0.0172 | r1: 0.1656 | st0: 1.1526 | st1: 1.1538 | sd0: 0.9862 | sd1: 1.0044 | lr : 0.19982778 
Step: 1 | Loss:   1.0260 | w0: 0.9290 | w1: 0.0710 | r0: 0.0658 | r1: 0.2689 | st0: 1.0454 | st1: 1.0618 | sd0: 0.9952 | sd1: 0.9906 | lr : 0.19982778 
Step: 2 | Loss:   0.7298 | w0: 0.7368 | w1: 0.2632 | r0: 0.6828 | r1: 0.3402 | st0: 0.9777 | st1: 0.9170 | sd0: 1.0096 | sd1: 0.9985 | lr : 0.19982778 
Step: 3 | Loss:   1.0075 | w0: 0.8345 | w1: 0.1655 | r0: 0.1958 | r1: 0.1561 | st0: 0.9967 | st1: 0.9995 | sd0: 1.0016 | sd1: 0.9987 | lr : 0.19982778 
Step: 4 | Loss:  37.8911 | w0: 0.9619 | w1: 0.0381 | r0: 0.0849 | r1: 0.5312 | st0: 0.9299 | st1: 1.0100 | sd0: 1.0022 | sd1: 0.9944 | lr : 0.19982778 
Step: 0 | Loss:   0.8423 | w0: 0.1907 | w1: 0.8093 | r0: 0.0160 | r1: 0.1585 | st0: 1.1521 | st1: 1.1539 | sd0: 0.9864 | sd1: 1.0044 | lr : 0.19979789 
Step: 1 | Loss:   1.1370 | w0: 0.9318 | w1: 0.0682 | r0: 0.0673 | r1: 0.2657 | st0: 1.0230 | st1: 1.0604 | sd0: 0.9966 | sd1: 0.9908 | lr : 0.19979789 
Step: 2 | Loss:   0.8292 | w0: 0.7272 | w1: 0.2728 | r0: 0.6393 | r1: 0.3713 | st0: 0.9723 | st1: 0.9100 | sd0: 1.0104 | sd1: 0.9995 | lr : 0.19979789 
Step: 3 | Loss:   1.0135 | w0: 0.8354 | w1: 0.1646 | r0: 0.2113 | r1: 0.1600 | st0: 0.9892 | st1: 0.9971 | sd0: 1.0033 | sd1: 0.9997 | lr : 0.19979789 
Step: 4 | Loss:  42.6700 | w0: 0.9558 | w1: 0.0442 | r0: 0.0880 | r1: 0.5273 | st0: 0.9348 | st1: 1.0184 | sd0: 1.0060 | sd1: 0.9974 | lr : 0.19979789 
