Model already exists: ../epd-solver/src/imagenet64/edm-imagenet-64x64-cond-adm.pkl
Loading the pre-trained diffusion model from "../epd-solver/src/imagenet64/edm-imagenet-64x64-cond-adm.pkl"...
Constructing predictor...
Setting up optimizer...
/root/autodl-tmp/conda_envs/epd/lib/python3.9/site-packages/torchvision/io/image.py:13: UserWarning: Failed to load image Python extension: /root/autodl-tmp/conda_envs/epd/lib/python3.9/site-packages/torchvision/image.so: undefined symbol: _ZN3c1017RegisterOperatorsD1Ev
  warn(f"Failed to load image Python extension: {e}")
Using Cosince Annealing Learning Rate
Training for 10 kimg...

Step: 0 | Loss:  33.3701 | w0: 0.3866 | w1: 0.6134 | r0: 0.3078 | r1: 0.6019 | st0: 1.0175 | st1: 1.0256 | sd0: 0.9779 | sd1: 1.0043 | lr : 0.20000000 
Step: 1 | Loss:  13.4257 | w0: 0.2897 | w1: 0.7103 | r0: 0.2179 | r1: 0.5818 | st0: 0.9990 | st1: 0.9929 | sd0: 0.9933 | sd1: 0.9892 | lr : 0.20000000 
Step: 2 | Loss:   4.2294 | w0: 0.5788 | w1: 0.4212 | r0: 0.5839 | r1: 0.3445 | st0: 1.0154 | st1: 0.9649 | sd0: 1.0121 | sd1: 0.9961 | lr : 0.20000000 
Step: 3 | Loss:   3.9220 | w0: 0.7786 | w1: 0.2214 | r0: 0.2738 | r1: 0.2770 | st0: 1.0389 | st1: 0.9950 | sd0: 1.0046 | sd1: 0.9952 | lr : 0.20000000 
Step: 4 | Loss: 155.5783 | w0: 0.5821 | w1: 0.4179 | r0: 0.5186 | r1: 0.8128 | st0: 0.9644 | st1: 1.0013 | sd0: 0.9942 | sd1: 0.9912 | lr : 0.20000000 
tick 0     kimg 0.0       time 13s          sec/tick 6.8     sec/kimg 848.13  maintenance 5.9    gpumem 19.98  reserved 20.06 
Step: 0 | Loss:  68.5979 | w0: 0.1349 | w1: 0.8651 | r0: 0.1629 | r1: 0.4088 | st0: 1.0402 | st1: 1.0467 | sd0: 0.9856 | sd1: 1.0129 | lr : 0.19999970 
Step: 1 | Loss:   7.3840 | w0: 0.6682 | w1: 0.3318 | r0: 0.1505 | r1: 0.3890 | st0: 1.0093 | st1: 1.0127 | sd0: 1.0017 | sd1: 0.9974 | lr : 0.19999970 
Step: 2 | Loss:   8.0099 | w0: 0.8123 | w1: 0.1877 | r0: 0.4700 | r1: 0.3134 | st0: 1.0172 | st1: 0.9659 | sd0: 1.0184 | sd1: 1.0031 | lr : 0.19999970 
Step: 3 | Loss:  11.2548 | w0: 0.9024 | w1: 0.0976 | r0: 0.3199 | r1: 0.3246 | st0: 1.0359 | st1: 1.0077 | sd0: 1.0104 | sd1: 1.0012 | lr : 0.19999970 
Step: 4 | Loss:  73.3640 | w0: 0.7641 | w1: 0.2359 | r0: 0.4140 | r1: 0.7401 | st0: 0.9739 | st1: 1.0118 | sd0: 0.9994 | sd1: 0.9964 | lr : 0.19999970 
Step: 0 | Loss:  37.2300 | w0: 0.1303 | w1: 0.8697 | r0: 0.1447 | r1: 0.3952 | st0: 1.0512 | st1: 1.0572 | sd0: 0.9865 | sd1: 1.0098 | lr : 0.19999880 
Step: 1 | Loss:   4.0627 | w0: 0.6862 | w1: 0.3138 | r0: 0.1971 | r1: 0.3580 | st0: 0.9980 | st1: 1.0148 | sd0: 0.9993 | sd1: 0.9996 | lr : 0.19999880 
Step: 2 | Loss:   4.4847 | w0: 0.8264 | w1: 0.1736 | r0: 0.5384 | r1: 0.3953 | st0: 1.0062 | st1: 0.9571 | sd0: 1.0179 | sd1: 1.0047 | lr : 0.19999880 
Step: 3 | Loss:   6.9707 | w0: 0.8951 | w1: 0.1049 | r0: 0.3486 | r1: 0.4185 | st0: 1.0264 | st1: 1.0020 | sd0: 1.0100 | sd1: 1.0028 | lr : 0.19999880 
Step: 4 | Loss: 134.0028 | w0: 0.8540 | w1: 0.1460 | r0: 0.3330 | r1: 0.6911 | st0: 0.9741 | st1: 1.0114 | sd0: 0.9990 | sd1: 0.9952 | lr : 0.19999880 
Step: 0 | Loss:   4.0853 | w0: 0.1785 | w1: 0.8215 | r0: 0.1858 | r1: 0.4868 | st0: 1.0450 | st1: 1.0507 | sd0: 0.9841 | sd1: 1.0037 | lr : 0.19999730 
Step: 1 | Loss:   1.9545 | w0: 0.5387 | w1: 0.4613 | r0: 0.2586 | r1: 0.4243 | st0: 0.9895 | st1: 1.0077 | sd0: 0.9936 | sd1: 0.9974 | lr : 0.19999730 
Step: 2 | Loss:   1.6742 | w0: 0.7624 | w1: 0.2376 | r0: 0.6454 | r1: 0.5026 | st0: 0.9923 | st1: 0.9479 | sd0: 1.0144 | sd1: 1.0035 | lr : 0.19999730 
Step: 3 | Loss:   2.6083 | w0: 0.8617 | w1: 0.1383 | r0: 0.3028 | r1: 0.4473 | st0: 1.0174 | st1: 0.9944 | sd0: 1.0075 | sd1: 1.0024 | lr : 0.19999730 
Step: 4 | Loss:  54.4534 | w0: 0.9200 | w1: 0.0800 | r0: 0.2585 | r1: 0.5974 | st0: 0.9795 | st1: 1.0137 | sd0: 1.0039 | sd1: 0.9997 | lr : 0.19999730 
Step: 0 | Loss:  24.5616 | w0: 0.2192 | w1: 0.7808 | r0: 0.2189 | r1: 0.5561 | st0: 1.0389 | st1: 1.0446 | sd0: 0.9824 | sd1: 0.9995 | lr : 0.19999521 
Step: 1 | Loss:   7.5885 | w0: 0.4477 | w1: 0.5523 | r0: 0.2966 | r1: 0.4535 | st0: 0.9841 | st1: 1.0031 | sd0: 0.9904 | sd1: 0.9967 | lr : 0.19999521 
Step: 2 | Loss:   2.7802 | w0: 0.7927 | w1: 0.2073 | r0: 0.7242 | r1: 0.5293 | st0: 0.9949 | st1: 0.9482 | sd0: 1.0107 | sd1: 1.0015 | lr : 0.19999521 
Step: 3 | Loss:   3.2021 | w0: 0.8273 | w1: 0.1727 | r0: 0.2205 | r1: 0.4195 | st0: 1.0095 | st1: 0.9846 | sd0: 1.0046 | sd1: 1.0010 | lr : 0.19999521 
Step: 4 | Loss:  74.8157 | w0: 0.9371 | w1: 0.0629 | r0: 0.2548 | r1: 0.5462 | st0: 0.9754 | st1: 1.0123 | sd0: 1.0037 | sd1: 1.0009 | lr : 0.19999521 
Step: 0 | Loss:  16.0959 | w0: 0.2283 | w1: 0.7717 | r0: 0.1868 | r1: 0.5639 | st0: 1.0395 | st1: 1.0422 | sd0: 0.9836 | sd1: 0.9992 | lr : 0.19999251 
Step: 1 | Loss:   4.0150 | w0: 0.3944 | w1: 0.6056 | r0: 0.3014 | r1: 0.4456 | st0: 0.9807 | st1: 1.0001 | sd0: 0.9904 | sd1: 0.9995 | lr : 0.19999251 
Step: 2 | Loss:   1.7193 | w0: 0.8719 | w1: 0.1281 | r0: 0.7783 | r1: 0.5135 | st0: 1.0044 | st1: 0.9530 | sd0: 1.0090 | sd1: 1.0006 | lr : 0.19999251 
Step: 3 | Loss:   1.8014 | w0: 0.8475 | w1: 0.1525 | r0: 0.1713 | r1: 0.3423 | st0: 1.0083 | st1: 0.9843 | sd0: 1.0030 | sd1: 1.0005 | lr : 0.19999251 
Step: 4 | Loss:  24.1510 | w0: 0.9483 | w1: 0.0517 | r0: 0.2127 | r1: 0.5162 | st0: 0.9735 | st1: 1.0102 | sd0: 1.0039 | sd1: 1.0017 | lr : 0.19999251 
Step: 0 | Loss:   3.8861 | w0: 0.2141 | w1: 0.7859 | r0: 0.1344 | r1: 0.5348 | st0: 1.0443 | st1: 1.0428 | sd0: 0.9871 | sd1: 1.0017 | lr : 0.19998922 
Step: 1 | Loss:   2.3872 | w0: 0.3222 | w1: 0.6778 | r0: 0.2929 | r1: 0.4352 | st0: 0.9796 | st1: 1.0004 | sd0: 0.9927 | sd1: 1.0049 | lr : 0.19998922 
Step: 2 | Loss:   3.4198 | w0: 0.9353 | w1: 0.0647 | r0: 0.8003 | r1: 0.4770 | st0: 1.0158 | st1: 0.9597 | sd0: 1.0104 | sd1: 1.0012 | lr : 0.19998922 
Step: 3 | Loss:   3.9890 | w0: 0.9027 | w1: 0.0973 | r0: 0.1379 | r1: 0.2661 | st0: 1.0144 | st1: 0.9908 | sd0: 1.0036 | sd1: 1.0016 | lr : 0.19998922 
Step: 4 | Loss:  61.3128 | w0: 0.9577 | w1: 0.0423 | r0: 0.1673 | r1: 0.4910 | st0: 0.9781 | st1: 1.0098 | sd0: 1.0052 | sd1: 1.0025 | lr : 0.19998922 
Step: 0 | Loss:   6.8653 | w0: 0.1756 | w1: 0.8244 | r0: 0.1102 | r1: 0.5188 | st0: 1.0451 | st1: 1.0416 | sd0: 0.9909 | sd1: 1.0047 | lr : 0.19998532 
Step: 1 | Loss:   3.4581 | w0: 0.2732 | w1: 0.7268 | r0: 0.2832 | r1: 0.4241 | st0: 0.9796 | st1: 1.0031 | sd0: 0.9948 | sd1: 1.0087 | lr : 0.19998532 
Step: 2 | Loss:   2.4133 | w0: 0.9610 | w1: 0.0390 | r0: 0.8047 | r1: 0.4442 | st0: 1.0232 | st1: 0.9654 | sd0: 1.0101 | sd1: 1.0016 | lr : 0.19998532 
Step: 3 | Loss:   2.4974 | w0: 0.9233 | w1: 0.0767 | r0: 0.1163 | r1: 0.2178 | st0: 1.0154 | st1: 0.9938 | sd0: 1.0018 | sd1: 1.0011 | lr : 0.19998532 
Step: 4 | Loss: 127.6070 | w0: 0.9583 | w1: 0.0417 | r0: 0.1521 | r1: 0.4986 | st0: 0.9718 | st1: 1.0048 | sd0: 1.0022 | sd1: 1.0018 | lr : 0.19998532 
