Model already exists: ../epd-solver/src/cifar10/edm-cifar10-32x32-uncond-vp.pkl
Loading the pre-trained diffusion model from "../epd-solver/src/cifar10/edm-cifar10-32x32-uncond-vp.pkl"...
Constructing predictor...
Setting up optimizer...
Using Cosince Annealing Learning Rate
Training for 10 kimg...

/root/autodl-tmp/epd-solver/solver_utils.py:38: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_d = 2 * (np.log(torch.tensor(sigma_min).cpu() ** 2 + 1) / epsilon_s - np.log(torch.tensor(sigma_max).cpu() ** 2 + 1)) / (epsilon_s - 1)
/root/autodl-tmp/epd-solver/solver_utils.py:39: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_min = np.log(torch.tensor(sigma_max).cpu() ** 2 + 1) - 0.5 * vp_beta_d
Step: 0 | Loss:  35.1145 | w0: 0.5839 | w1: 0.4161 | r0: 0.3078 | r1: 0.6019 | st0: 1.0037 | st1: 1.0703 | sd0: 1.0042 | sd1: 0.9920 | lr : 0.20000000 
Step: 1 | Loss: 106.5395 | w0: 0.7850 | w1: 0.2150 | r0: 0.2179 | r1: 0.5818 | st0: 0.9117 | st1: 1.0174 | sd0: 0.9880 | sd1: 0.9882 | lr : 0.20000000 
tick 0     kimg 0.0       time 6s           sec/tick 3.2     sec/kimg 199.93  maintenance 3.2    gpumem 4.89   reserved 4.93  
Step: 0 | Loss:  24.6788 | w0: 0.6768 | w1: 0.3232 | r0: 0.3520 | r1: 0.6487 | st0: 0.9937 | st1: 1.0614 | sd0: 1.0067 | sd1: 0.9945 | lr : 0.19999880 
Step: 1 | Loss: 105.8002 | w0: 0.8449 | w1: 0.1551 | r0: 0.1858 | r1: 0.5325 | st0: 0.9038 | st1: 1.0074 | sd0: 0.9904 | sd1: 0.9859 | lr : 0.19999880 
Step: 0 | Loss:  18.8656 | w0: 0.7387 | w1: 0.2613 | r0: 0.3219 | r1: 0.6144 | st0: 0.9956 | st1: 1.0658 | sd0: 1.0079 | sd1: 0.9958 | lr : 0.19999521 
Step: 1 | Loss: 111.8203 | w0: 0.8260 | w1: 0.1740 | r0: 0.1584 | r1: 0.5322 | st0: 0.8969 | st1: 0.9987 | sd0: 0.9889 | sd1: 0.9842 | lr : 0.19999521 
Step: 0 | Loss:  26.3734 | w0: 0.7612 | w1: 0.2388 | r0: 0.2917 | r1: 0.5753 | st0: 1.0007 | st1: 1.0723 | sd0: 1.0076 | sd1: 0.9962 | lr : 0.19998923 
Step: 1 | Loss:  80.2535 | w0: 0.7829 | w1: 0.2171 | r0: 0.1399 | r1: 0.5504 | st0: 0.8908 | st1: 0.9894 | sd0: 0.9871 | sd1: 0.9823 | lr : 0.19998923 
Step: 0 | Loss:  20.1268 | w0: 0.7895 | w1: 0.2105 | r0: 0.2606 | r1: 0.5339 | st0: 1.0078 | st1: 1.0791 | sd0: 1.0071 | sd1: 0.9963 | lr : 0.19998086 
Step: 1 | Loss:  92.9012 | w0: 0.7470 | w1: 0.2530 | r0: 0.1500 | r1: 0.5772 | st0: 0.8846 | st1: 0.9800 | sd0: 0.9852 | sd1: 0.9804 | lr : 0.19998086 
