Model already exists: ../epd-solver/src/cifar10/edm-cifar10-32x32-uncond-vp.pkl
Loading the pre-trained diffusion model from "../epd-solver/src/cifar10/edm-cifar10-32x32-uncond-vp.pkl"...
Constructing predictor...
Setting up optimizer...
/root/autodl-tmp/conda_envs/epd/lib/python3.9/site-packages/torchvision/io/image.py:13: UserWarning: Failed to load image Python extension: /root/autodl-tmp/conda_envs/epd/lib/python3.9/site-packages/torchvision/image.so: undefined symbol: _ZN3c1017RegisterOperatorsD1Ev
  warn(f"Failed to load image Python extension: {e}")
Using Cosince Annealing Learning Rate
Training for 10 kimg...

Step: 0 | Loss:  80.3440 | w0: 0.5612 | w1: 0.4388 | r0: 0.3078 | r1: 0.6019 | st0: 0.9933 | st1: 0.9892 | sd0: 0.9880 | sd1: 0.9882 | lr : 0.20000000 
Step: 1 | Loss:   5.4510 | w0: 0.4163 | w1: 0.5837 | r0: 0.2179 | r1: 0.5818 | st0: 1.0121 | st1: 0.9961 | sd0: 1.0009 | sd1: 1.0176 | lr : 0.20000000 
Step: 2 | Loss:  91.8873 | w0: 0.5610 | w1: 0.4390 | r0: 0.5839 | r1: 0.3445 | st0: 1.0046 | st1: 0.9952 | sd0: 0.9779 | sd1: 1.0043 | lr : 0.20000000 
tick 0     kimg 0.0       time 5s           sec/tick 3.1     sec/kimg 96.29   maintenance 2.2    gpumem 10.16  reserved 10.17 
Step: 0 | Loss:  57.2007 | w0: 0.4615 | w1: 0.5385 | r0: 0.3520 | r1: 0.6487 | st0: 0.9909 | st1: 0.9869 | sd0: 0.9904 | sd1: 0.9906 | lr : 0.19999521 
Step: 1 | Loss:   7.4396 | w0: 0.3234 | w1: 0.6766 | r0: 0.1858 | r1: 0.6295 | st0: 1.0144 | st1: 0.9937 | sd0: 1.0034 | sd1: 1.0197 | lr : 0.19999521 
Step: 2 | Loss:  90.4462 | w0: 0.4614 | w1: 0.5386 | r0: 0.5346 | r1: 0.3008 | st0: 1.0070 | st1: 0.9977 | sd0: 0.9800 | sd1: 1.0068 | lr : 0.19999521 
Step: 0 | Loss:  41.5956 | w0: 0.4014 | w1: 0.5986 | r0: 0.3850 | r1: 0.6646 | st0: 0.9892 | st1: 0.9854 | sd0: 0.9920 | sd1: 0.9922 | lr : 0.19998086 
Step: 1 | Loss:   7.2255 | w0: 0.3266 | w1: 0.6734 | r0: 0.1579 | r1: 0.6501 | st0: 1.0166 | st1: 0.9913 | sd0: 1.0054 | sd1: 1.0214 | lr : 0.19998086 
Step: 2 | Loss:  75.1202 | w0: 0.3741 | w1: 0.6259 | r0: 0.4929 | r1: 0.2626 | st0: 1.0084 | st1: 0.9996 | sd0: 0.9809 | sd1: 1.0084 | lr : 0.19998086 
Step: 0 | Loss:  43.2664 | w0: 0.3652 | w1: 0.6348 | r0: 0.4085 | r1: 0.6694 | st0: 0.9884 | st1: 0.9854 | sd0: 0.9940 | sd1: 0.9942 | lr : 0.19995694 
Step: 1 | Loss:   9.1066 | w0: 0.3636 | w1: 0.6364 | r0: 0.1347 | r1: 0.6225 | st0: 1.0188 | st1: 0.9919 | sd0: 1.0069 | sd1: 1.0227 | lr : 0.19995694 
Step: 2 | Loss:  77.1942 | w0: 0.3068 | w1: 0.6932 | r0: 0.4595 | r1: 0.2319 | st0: 1.0094 | st1: 1.0012 | sd0: 0.9817 | sd1: 1.0098 | lr : 0.19995694 
Step: 0 | Loss:  33.9406 | w0: 0.3738 | w1: 0.6262 | r0: 0.4082 | r1: 0.6515 | st0: 0.9882 | st1: 0.9858 | sd0: 0.9960 | sd1: 0.9963 | lr : 0.19992345 
Step: 1 | Loss:   9.9213 | w0: 0.4042 | w1: 0.5958 | r0: 0.1143 | r1: 0.6106 | st0: 1.0209 | st1: 0.9925 | sd0: 1.0084 | sd1: 1.0239 | lr : 0.19992345 
Step: 2 | Loss:  85.0617 | w0: 0.2497 | w1: 0.7503 | r0: 0.4268 | r1: 0.2054 | st0: 1.0105 | st1: 1.0028 | sd0: 0.9830 | sd1: 1.0116 | lr : 0.19992345 
Step: 0 | Loss:  24.5851 | w0: 0.4051 | w1: 0.5949 | r0: 0.3952 | r1: 0.6235 | st0: 0.9885 | st1: 0.9869 | sd0: 0.9980 | sd1: 0.9984 | lr : 0.19988039 
Step: 1 | Loss:   7.2690 | w0: 0.4685 | w1: 0.5315 | r0: 0.0963 | r1: 0.5838 | st0: 1.0228 | st1: 0.9936 | sd0: 1.0094 | sd1: 1.0248 | lr : 0.19988039 
Step: 2 | Loss:  62.6885 | w0: 0.2105 | w1: 0.7895 | r0: 0.4033 | r1: 0.1829 | st0: 1.0108 | st1: 1.0034 | sd0: 0.9831 | sd1: 1.0116 | lr : 0.19988039 
Step: 0 | Loss:  11.5235 | w0: 0.4400 | w1: 0.5600 | r0: 0.3789 | r1: 0.5962 | st0: 0.9888 | st1: 0.9878 | sd0: 0.9984 | sd1: 0.9987 | lr : 0.19982778 
Step: 1 | Loss:   5.5866 | w0: 0.5279 | w1: 0.4721 | r0: 0.0820 | r1: 0.5826 | st0: 1.0243 | st1: 0.9941 | sd0: 1.0094 | sd1: 1.0250 | lr : 0.19982778 
Step: 2 | Loss:  63.3770 | w0: 0.1862 | w1: 0.8138 | r0: 0.3867 | r1: 0.1623 | st0: 1.0102 | st1: 1.0029 | sd0: 0.9824 | sd1: 1.0105 | lr : 0.19982778 
Step: 0 | Loss:  14.5410 | w0: 0.4757 | w1: 0.5243 | r0: 0.3612 | r1: 0.5708 | st0: 0.9891 | st1: 0.9885 | sd0: 0.9979 | sd1: 0.9981 | lr : 0.19976562 
