Model already exists: ../epd-solver/src/ffhq/edm-ffhq-64x64-uncond-vp.pkl
Loading the pre-trained diffusion model from "../epd-solver/src/ffhq/edm-ffhq-64x64-uncond-vp.pkl"...
Constructing predictor...
Setting up optimizer...
Using Cosince Annealing Learning Rate
Training for 10 kimg...

/root/autodl-tmp/epd-solver/solver_utils.py:38: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_d = 2 * (np.log(torch.tensor(sigma_min).cpu() ** 2 + 1) / epsilon_s - np.log(torch.tensor(sigma_max).cpu() ** 2 + 1)) / (epsilon_s - 1)
/root/autodl-tmp/epd-solver/solver_utils.py:39: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_min = np.log(torch.tensor(sigma_max).cpu() ** 2 + 1) - 0.5 * vp_beta_d
Step: 0 | Loss:  31.9533 | w0: 0.3866 | w1: 0.6134 | r0: 0.3078 | r1: 0.6019 | st0: 1.0350 | st1: 1.0511 | sd0: 0.9779 | sd1: 1.0043 | lr : 0.20000000 
Step: 1 | Loss:  24.5408 | w0: 0.2897 | w1: 0.7103 | r0: 0.2179 | r1: 0.5818 | st0: 0.9980 | st1: 0.9858 | sd0: 0.9933 | sd1: 0.9892 | lr : 0.20000000 
Step: 2 | Loss:  10.2078 | w0: 0.5788 | w1: 0.4212 | r0: 0.5839 | r1: 0.3445 | st0: 1.0308 | st1: 0.9298 | sd0: 1.0121 | sd1: 0.9961 | lr : 0.20000000 
Step: 3 | Loss:   7.4348 | w0: 0.7786 | w1: 0.2214 | r0: 0.2738 | r1: 0.2770 | st0: 1.0778 | st1: 0.9899 | sd0: 1.0046 | sd1: 0.9952 | lr : 0.20000000 
Step: 4 | Loss: 246.8099 | w0: 0.5821 | w1: 0.4179 | r0: 0.5186 | r1: 0.8128 | st0: 0.9288 | st1: 1.0026 | sd0: 0.9942 | sd1: 0.9912 | lr : 0.20000000 
tick 0     kimg 0.0       time 10s          sec/tick 6.9     sec/kimg 430.18  maintenance 3.2    gpumem 18.70  reserved 18.73 
Step: 0 | Loss: 118.0219 | w0: 0.1016 | w1: 0.8984 | r0: 0.1774 | r1: 0.4204 | st0: 1.0776 | st1: 1.0915 | sd0: 0.9874 | sd1: 1.0147 | lr : 0.19999880 
Step: 1 | Loss:  21.4109 | w0: 0.6609 | w1: 0.3391 | r0: 0.1115 | r1: 0.3852 | st0: 1.0392 | st1: 1.0278 | sd0: 1.0023 | sd1: 0.9980 | lr : 0.19999880 
Step: 2 | Loss:   7.9193 | w0: 0.8170 | w1: 0.1830 | r0: 0.4097 | r1: 0.2203 | st0: 1.0597 | st1: 0.9566 | sd0: 1.0188 | sd1: 1.0036 | lr : 0.19999880 
Step: 3 | Loss:   5.9012 | w0: 0.9028 | w1: 0.0972 | r0: 0.1844 | r1: 0.1901 | st0: 1.0976 | st1: 1.0139 | sd0: 1.0106 | sd1: 1.0014 | lr : 0.19999880 
Step: 4 | Loss: 161.8742 | w0: 0.7641 | w1: 0.2359 | r0: 0.4140 | r1: 0.7401 | st0: 0.9479 | st1: 1.0236 | sd0: 0.9994 | sd1: 0.9964 | lr : 0.19999880 
