Model already exists: ../epd-solver/src/lsun_bedroom_ldm/model.ckpt
The vq-f4 model already exists: ../epd-solver/models/ldm_models/first_stage_models/vq-f4/model.ckpt
Loading the pre-trained diffusion model from "../epd-solver/src/lsun_bedroom_ldm/model.ckpt"...
Global Step: 1900000
LatentDiffusion: Running in eps-prediction mode
DiffusionWrapper has 274.06 M params.
Keeping EMAs of 370.
making attention of type 'vanilla' with 512 in_channels
Working with z of shape (1, 3, 64, 64) = 12288 dimensions.
making attention of type 'vanilla' with 512 in_channels
Restored from models/ldm_models/first_stage_models/vq-f4/model.ckpt with 0 missing and 55 unexpected keys
Training LatentDiffusion as an unconditional model.
Constructing predictor...
Setting up optimizer...
Using Cosince Annealing Learning Rate
Training for 10 kimg...

/root/autodl-tmp/epd-solver/solver_utils.py:38: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_d = 2 * (np.log(torch.tensor(sigma_min).cpu() ** 2 + 1) / epsilon_s - np.log(torch.tensor(sigma_max).cpu() ** 2 + 1)) / (epsilon_s - 1)
/root/autodl-tmp/epd-solver/solver_utils.py:39: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_min = np.log(torch.tensor(sigma_max).cpu() ** 2 + 1) - 0.5 * vp_beta_d
Step: 1 | Loss:   0.8732 | w0: 0.9029 | w1: 0.0971 | r0: 0.5156 | r1: 0.6171 | sd0: 1.0079 | sd1: 1.0042 | lr : 0.09998583 
Step: 2 | Loss:   1.5946 | w0: 0.1541 | w1: 0.8459 | r0: 0.4397 | r1: 0.5287 | sd0: 1.0056 | sd1: 1.0035 | lr : 0.09998583 
Step: 3 | Loss:   6.6980 | w0: 0.0740 | w1: 0.9260 | r0: 0.2920 | r1: 0.4869 | sd0: 1.0000 | sd1: 1.0196 | lr : 0.09998583 
Step: 4 | Loss:  31.1336 | w0: 0.1135 | w1: 0.8865 | r0: 0.4233 | r1: 0.3762 | sd0: 1.0030 | sd1: 1.0122 | lr : 0.09998583 
Step: 0 | Loss:  31.7080 | w0: 0.4449 | w1: 0.5551 | r0: 0.6148 | r1: 0.0943 | sd0: 0.9782 | sd1: 1.0069 | lr : 0.09997960 
Step: 1 | Loss:   2.3334 | w0: 0.8615 | w1: 0.1385 | r0: 0.5277 | r1: 0.6616 | sd0: 1.0045 | sd1: 1.0011 | lr : 0.09997960 
Step: 2 | Loss:   2.1335 | w0: 0.1057 | w1: 0.8943 | r0: 0.4897 | r1: 0.5876 | sd0: 1.0042 | sd1: 1.0004 | lr : 0.09997960 
Step: 3 | Loss:   2.6435 | w0: 0.0646 | w1: 0.9354 | r0: 0.3085 | r1: 0.5107 | sd0: 1.0002 | sd1: 1.0191 | lr : 0.09997960 
Step: 4 | Loss:  17.4640 | w0: 0.0915 | w1: 0.9085 | r0: 0.4044 | r1: 0.3474 | sd0: 1.0035 | sd1: 1.0124 | lr : 0.09997960 
Step: 0 | Loss:  44.5193 | w0: 0.4526 | w1: 0.5474 | r0: 0.5976 | r1: 0.0801 | sd0: 0.9782 | sd1: 1.0062 | lr : 0.09997224 
Step: 1 | Loss:   4.8479 | w0: 0.8382 | w1: 0.1618 | r0: 0.5353 | r1: 0.6880 | sd0: 1.0028 | sd1: 1.0002 | lr : 0.09997224 
Step: 2 | Loss:   4.6475 | w0: 0.0869 | w1: 0.9131 | r0: 0.5232 | r1: 0.6265 | sd0: 1.0036 | sd1: 0.9997 | lr : 0.09997224 
Step: 3 | Loss:   9.3467 | w0: 0.0600 | w1: 0.9400 | r0: 0.3060 | r1: 0.4879 | sd0: 1.0007 | sd1: 1.0197 | lr : 0.09997224 
Step: 4 | Loss:  77.2817 | w0: 0.0703 | w1: 0.9297 | r0: 0.3902 | r1: 0.3204 | sd0: 1.0041 | sd1: 1.0141 | lr : 0.09997224 
Step: 0 | Loss:   6.5662 | w0: 0.3706 | w1: 0.6294 | r0: 0.6096 | r1: 0.0725 | sd0: 0.9801 | sd1: 1.0083 | lr : 0.09996374 
Step: 1 | Loss:   0.7388 | w0: 0.8632 | w1: 0.1368 | r0: 0.5261 | r1: 0.7162 | sd0: 1.0040 | sd1: 1.0027 | lr : 0.09996374 
Step: 2 | Loss:   1.2760 | w0: 0.0883 | w1: 0.9117 | r0: 0.5383 | r1: 0.6435 | sd0: 1.0038 | sd1: 1.0015 | lr : 0.09996374 
Step: 3 | Loss:   2.7524 | w0: 0.0590 | w1: 0.9410 | r0: 0.2891 | r1: 0.4469 | sd0: 1.0014 | sd1: 1.0211 | lr : 0.09996374 
Step: 4 | Loss:  41.7668 | w0: 0.0520 | w1: 0.9480 | r0: 0.3795 | r1: 0.2935 | sd0: 1.0046 | sd1: 1.0161 | lr : 0.09996374 
Step: 0 | Loss:   9.8778 | w0: 0.2724 | w1: 0.7276 | r0: 0.6346 | r1: 0.0683 | sd0: 0.9826 | sd1: 1.0112 | lr : 0.09995411 
Step: 1 | Loss:   4.2037 | w0: 0.9053 | w1: 0.0947 | r0: 0.4892 | r1: 0.7221 | sd0: 1.0061 | sd1: 1.0057 | lr : 0.09995411 
Step: 2 | Loss:   2.4860 | w0: 0.0937 | w1: 0.9063 | r0: 0.5427 | r1: 0.6399 | sd0: 1.0040 | sd1: 1.0028 | lr : 0.09995411 
Step: 3 | Loss:   8.8761 | w0: 0.0596 | w1: 0.9404 | r0: 0.2762 | r1: 0.4214 | sd0: 1.0018 | sd1: 1.0216 | lr : 0.09995411 
Step: 4 | Loss:  57.0428 | w0: 0.0446 | w1: 0.9554 | r0: 0.3733 | r1: 0.2804 | sd0: 1.0049 | sd1: 1.0164 | lr : 0.09995411 
Step: 0 | Loss:  26.1208 | w0: 0.2306 | w1: 0.7694 | r0: 0.6380 | r1: 0.0656 | sd0: 0.9840 | sd1: 1.0121 | lr : 0.09994334 
Step: 1 | Loss:   8.0597 | w0: 0.9228 | w1: 0.0772 | r0: 0.4658 | r1: 0.7190 | sd0: 1.0064 | sd1: 1.0068 | lr : 0.09994334 
Step: 2 | Loss:   5.0328 | w0: 0.0939 | w1: 0.9061 | r0: 0.5492 | r1: 0.6602 | sd0: 1.0037 | sd1: 1.0024 | lr : 0.09994334 
Step: 3 | Loss:  18.5036 | w0: 0.0613 | w1: 0.9387 | r0: 0.2709 | r1: 0.4189 | sd0: 1.0016 | sd1: 1.0211 | lr : 0.09994334 
Step: 4 | Loss:  78.7900 | w0: 0.0428 | w1: 0.9572 | r0: 0.3699 | r1: 0.2759 | sd0: 1.0049 | sd1: 1.0156 | lr : 0.09994334 
Step: 0 | Loss:   8.6167 | w0: 0.2577 | w1: 0.7423 | r0: 0.6329 | r1: 0.0634 | sd0: 0.9834 | sd1: 1.0100 | lr : 0.09993145 
Step: 1 | Loss:   3.4329 | w0: 0.9226 | w1: 0.0774 | r0: 0.4540 | r1: 0.7353 | sd0: 1.0048 | sd1: 1.0062 | lr : 0.09993145 
Step: 2 | Loss:   1.9499 | w0: 0.0911 | w1: 0.9089 | r0: 0.5556 | r1: 0.6799 | sd0: 1.0031 | sd1: 1.0008 | lr : 0.09993145 
Step: 3 | Loss:   5.8076 | w0: 0.0644 | w1: 0.9356 | r0: 0.2673 | r1: 0.4250 | sd0: 1.0013 | sd1: 1.0204 | lr : 0.09993145 
Step: 4 | Loss:  70.2686 | w0: 0.0429 | w1: 0.9571 | r0: 0.3681 | r1: 0.2744 | sd0: 1.0048 | sd1: 1.0143 | lr : 0.09993145 
Step: 0 | Loss:   2.6415 | w0: 0.2945 | w1: 0.7055 | r0: 0.6218 | r1: 0.0619 | sd0: 0.9826 | sd1: 1.0076 | lr : 0.09991842 
Step: 1 | Loss:   1.0513 | w0: 0.9249 | w1: 0.0751 | r0: 0.4241 | r1: 0.7439 | sd0: 1.0030 | sd1: 1.0054 | lr : 0.09991842 
Step: 2 | Loss:   1.2160 | w0: 0.0896 | w1: 0.9104 | r0: 0.5594 | r1: 0.6846 | sd0: 1.0024 | sd1: 0.9988 | lr : 0.09991842 
Step: 3 | Loss:   2.4076 | w0: 0.0684 | w1: 0.9316 | r0: 0.2643 | r1: 0.4271 | sd0: 1.0008 | sd1: 1.0193 | lr : 0.09991842 
