Model already exists: ../epd-solver/src/lsun_bedroom_ldm/model.ckpt
The vq-f4 model already exists: ../epd-solver/models/ldm_models/first_stage_models/vq-f4/model.ckpt
Loading the pre-trained diffusion model from "../epd-solver/src/lsun_bedroom_ldm/model.ckpt"...
Global Step: 1900000
LatentDiffusion: Running in eps-prediction mode
DiffusionWrapper has 274.06 M params.
Keeping EMAs of 370.
making attention of type 'vanilla' with 512 in_channels
Working with z of shape (1, 3, 64, 64) = 12288 dimensions.
making attention of type 'vanilla' with 512 in_channels
Restored from models/ldm_models/first_stage_models/vq-f4/model.ckpt with 0 missing and 55 unexpected keys
Training LatentDiffusion as an unconditional model.
Constructing predictor...
Setting up optimizer...
Using Cosince Annealing Learning Rate
Training for 10 kimg...

/root/autodl-tmp/epd-solver/solver_utils.py:38: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_d = 2 * (np.log(torch.tensor(sigma_min).cpu() ** 2 + 1) / epsilon_s - np.log(torch.tensor(sigma_max).cpu() ** 2 + 1)) / (epsilon_s - 1)
/root/autodl-tmp/epd-solver/solver_utils.py:39: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_min = np.log(torch.tensor(sigma_max).cpu() ** 2 + 1) - 0.5 * vp_beta_d
Step: 0 | Loss:  34.0034 | w0: 0.3593 | w1: 0.6407 | r0: 0.6147 | r1: 0.2085 | sd0: 0.9828 | sd1: 1.0026 | lr : 0.20000000 
Step: 1 | Loss:   7.9686 | w0: 0.7396 | w1: 0.2604 | r0: 0.4591 | r1: 0.3564 | sd0: 1.0076 | sd1: 1.0071 | lr : 0.20000000 
Step: 2 | Loss:  58.2440 | w0: 0.4409 | w1: 0.5591 | r0: 0.2184 | r1: 0.2804 | sd0: 0.9739 | sd1: 1.0053 | lr : 0.20000000 
tick 0     kimg 0.0       time 36s          sec/tick 18.5    sec/kimg 1545.75 maintenance 17.2   gpumem 22.86  reserved 22.92 
Step: 0 | Loss:  37.8211 | w0: 0.1656 | w1: 0.8344 | r0: 0.4920 | r1: 0.1368 | sd0: 0.9887 | sd1: 1.0089 | lr : 0.19999933 
Step: 1 | Loss:  16.6349 | w0: 0.5440 | w1: 0.4560 | r0: 0.3489 | r1: 0.2683 | sd0: 1.0124 | sd1: 1.0119 | lr : 0.19999933 
Step: 2 | Loss: 137.3395 | w0: 0.5997 | w1: 0.4003 | r0: 0.1686 | r1: 0.2204 | sd0: 0.9769 | sd1: 1.0092 | lr : 0.19999933 
Step: 0 | Loss:  73.0675 | w0: 0.1149 | w1: 0.8851 | r0: 0.5530 | r1: 0.1312 | sd0: 0.9915 | sd1: 1.0097 | lr : 0.19999730 
Step: 1 | Loss:  23.5050 | w0: 0.5874 | w1: 0.4126 | r0: 0.3761 | r1: 0.2846 | sd0: 1.0121 | sd1: 1.0103 | lr : 0.19999730 
Step: 2 | Loss: 145.3375 | w0: 0.7033 | w1: 0.2967 | r0: 0.1856 | r1: 0.2118 | sd0: 0.9755 | sd1: 1.0088 | lr : 0.19999730 
Step: 0 | Loss:  30.3268 | w0: 0.1209 | w1: 0.8791 | r0: 0.6410 | r1: 0.1512 | sd0: 0.9917 | sd1: 1.0067 | lr : 0.19999393 
Step: 1 | Loss:  15.9848 | w0: 0.7098 | w1: 0.2902 | r0: 0.4476 | r1: 0.3422 | sd0: 1.0092 | sd1: 1.0065 | lr : 0.19999393 
Step: 2 | Loss: 114.5782 | w0: 0.7570 | w1: 0.2430 | r0: 0.2247 | r1: 0.2215 | sd0: 0.9735 | sd1: 1.0077 | lr : 0.19999393 
Step: 0 | Loss:   5.9185 | w0: 0.1494 | w1: 0.8506 | r0: 0.6966 | r1: 0.1643 | sd0: 0.9904 | sd1: 1.0023 | lr : 0.19998922 
Step: 1 | Loss:   4.8988 | w0: 0.8157 | w1: 0.1843 | r0: 0.5339 | r1: 0.4117 | sd0: 1.0052 | sd1: 1.0021 | lr : 0.19998922 
Step: 2 | Loss:  47.6174 | w0: 0.8355 | w1: 0.1645 | r0: 0.2840 | r1: 0.2579 | sd0: 0.9711 | sd1: 1.0059 | lr : 0.19998922 
Step: 0 | Loss:  19.3778 | w0: 0.1693 | w1: 0.8307 | r0: 0.7053 | r1: 0.1440 | sd0: 0.9890 | sd1: 0.9982 | lr : 0.19998315 
Step: 1 | Loss:  19.1222 | w0: 0.8763 | w1: 0.1237 | r0: 0.6027 | r1: 0.4710 | sd0: 1.0019 | sd1: 0.9985 | lr : 0.19998315 
