Model already exists: ../epd-solver/src/lsun_bedroom_ldm/model.ckpt
The vq-f4 model already exists: ../epd-solver/models/ldm_models/first_stage_models/vq-f4/model.ckpt
Loading the pre-trained diffusion model from "../epd-solver/src/lsun_bedroom_ldm/model.ckpt"...
Global Step: 1900000
LatentDiffusion: Running in eps-prediction mode
DiffusionWrapper has 274.06 M params.
Keeping EMAs of 370.
making attention of type 'vanilla' with 512 in_channels
Working with z of shape (1, 3, 64, 64) = 12288 dimensions.
making attention of type 'vanilla' with 512 in_channels
Restored from models/ldm_models/first_stage_models/vq-f4/model.ckpt with 0 missing and 55 unexpected keys
Training LatentDiffusion as an unconditional model.
Constructing predictor...
Setting up optimizer...
Using Cosince Annealing Learning Rate
Training for 10 kimg...

/root/autodl-tmp/epd-solver/solver_utils.py:38: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_d = 2 * (np.log(torch.tensor(sigma_min).cpu() ** 2 + 1) / epsilon_s - np.log(torch.tensor(sigma_max).cpu() ** 2 + 1)) / (epsilon_s - 1)
/root/autodl-tmp/epd-solver/solver_utils.py:39: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_min = np.log(torch.tensor(sigma_max).cpu() ** 2 + 1) - 0.5 * vp_beta_d
Step: 2 | Loss:   8.1960 | w0: 0.5943 | w1: 0.4057 | r0: 0.1874 | r1: 0.3549 | sd0: 1.0104 | sd1: 1.0093 | lr : 0.19997574 
Step: 3 | Loss:  62.4052 | w0: 0.9627 | w1: 0.0373 | r0: 0.0894 | r1: 0.2339 | sd0: 1.0228 | sd1: 1.0217 | lr : 0.19997574 
Step: 0 | Loss:  14.4681 | w0: 0.1915 | w1: 0.8085 | r0: 0.9254 | r1: 0.4137 | sd0: 0.9918 | sd1: 1.0040 | lr : 0.19996698 
Step: 1 | Loss:   8.0609 | w0: 0.2836 | w1: 0.7164 | r0: 0.4728 | r1: 0.6263 | sd0: 0.9822 | sd1: 1.0039 | lr : 0.19996698 
Step: 2 | Loss:   9.2567 | w0: 0.4715 | w1: 0.5285 | r0: 0.1996 | r1: 0.4060 | sd0: 1.0086 | sd1: 1.0090 | lr : 0.19996698 
Step: 3 | Loss:  91.8079 | w0: 0.9650 | w1: 0.0350 | r0: 0.0905 | r1: 0.2295 | sd0: 1.0214 | sd1: 1.0221 | lr : 0.19996698 
Step: 0 | Loss:  17.7132 | w0: 0.1778 | w1: 0.8222 | r0: 0.8999 | r1: 0.4972 | sd0: 0.9891 | sd1: 1.0012 | lr : 0.19995687 
Step: 1 | Loss:  11.5630 | w0: 0.3233 | w1: 0.6767 | r0: 0.4740 | r1: 0.6348 | sd0: 0.9817 | sd1: 1.0002 | lr : 0.19995687 
Step: 2 | Loss:  11.3497 | w0: 0.2896 | w1: 0.7104 | r0: 0.2321 | r1: 0.4847 | sd0: 1.0054 | sd1: 1.0069 | lr : 0.19995687 
Step: 3 | Loss:  52.8462 | w0: 0.9646 | w1: 0.0354 | r0: 0.0994 | r1: 0.2296 | sd0: 1.0190 | sd1: 1.0220 | lr : 0.19995687 
Step: 0 | Loss:  17.0069 | w0: 0.0980 | w1: 0.9020 | r0: 0.8362 | r1: 0.4047 | sd0: 0.9861 | sd1: 0.9984 | lr : 0.19994541 
Step: 1 | Loss:  11.6296 | w0: 0.3822 | w1: 0.6178 | r0: 0.4631 | r1: 0.6845 | sd0: 0.9807 | sd1: 0.9963 | lr : 0.19994541 
Step: 2 | Loss:  12.8736 | w0: 0.1781 | w1: 0.8219 | r0: 0.2634 | r1: 0.5639 | sd0: 1.0025 | sd1: 1.0047 | lr : 0.19994541 
Step: 3 | Loss:  75.1680 | w0: 0.9637 | w1: 0.0363 | r0: 0.1112 | r1: 0.2309 | sd0: 1.0167 | sd1: 1.0219 | lr : 0.19994541 
Step: 0 | Loss:  10.0181 | w0: 0.0300 | w1: 0.9700 | r0: 0.7213 | r1: 0.2646 | sd0: 0.9856 | sd1: 0.9985 | lr : 0.19993261 
Step: 1 | Loss:   9.1697 | w0: 0.4042 | w1: 0.5958 | r0: 0.4369 | r1: 0.7312 | sd0: 0.9810 | sd1: 0.9952 | lr : 0.19993261 
Step: 2 | Loss:   9.8661 | w0: 0.1449 | w1: 0.8551 | r0: 0.2844 | r1: 0.5812 | sd0: 1.0009 | sd1: 1.0047 | lr : 0.19993261 
Step: 3 | Loss:  47.6707 | w0: 0.9633 | w1: 0.0367 | r0: 0.1092 | r1: 0.2326 | sd0: 1.0166 | sd1: 1.0221 | lr : 0.19993261 
Step: 0 | Loss:   3.3111 | w0: 0.0092 | w1: 0.9908 | r0: 0.5882 | r1: 0.1727 | sd0: 0.9862 | sd1: 1.0011 | lr : 0.19991846 
Step: 1 | Loss:   4.7553 | w0: 0.3772 | w1: 0.6228 | r0: 0.4097 | r1: 0.7633 | sd0: 0.9829 | sd1: 0.9971 | lr : 0.19991846 
Step: 2 | Loss:   7.2661 | w0: 0.1547 | w1: 0.8453 | r0: 0.2897 | r1: 0.5600 | sd0: 1.0002 | sd1: 1.0066 | lr : 0.19991846 
Step: 3 | Loss:  46.3138 | w0: 0.9642 | w1: 0.0358 | r0: 0.0974 | r1: 0.2307 | sd0: 1.0180 | sd1: 1.0227 | lr : 0.19991846 
Step: 0 | Loss:  21.4034 | w0: 0.0038 | w1: 0.9962 | r0: 0.4879 | r1: 0.1258 | sd0: 0.9869 | sd1: 1.0043 | lr : 0.19990296 
Step: 1 | Loss:  10.5623 | w0: 0.3436 | w1: 0.6564 | r0: 0.3839 | r1: 0.7770 | sd0: 0.9855 | sd1: 1.0002 | lr : 0.19990296 
Step: 2 | Loss:  21.0441 | w0: 0.1854 | w1: 0.8146 | r0: 0.2795 | r1: 0.5182 | sd0: 0.9998 | sd1: 1.0079 | lr : 0.19990296 
Step: 3 | Loss:  62.1164 | w0: 0.9640 | w1: 0.0360 | r0: 0.0921 | r1: 0.2316 | sd0: 1.0179 | sd1: 1.0228 | lr : 0.19990296 
Step: 0 | Loss:  43.0304 | w0: 0.0020 | w1: 0.9980 | r0: 0.4195 | r1: 0.0945 | sd0: 0.9874 | sd1: 1.0060 | lr : 0.19988612 
Step: 1 | Loss:   3.1742 | w0: 0.3309 | w1: 0.6691 | r0: 0.3515 | r1: 0.7892 | sd0: 0.9877 | sd1: 1.0029 | lr : 0.19988612 
Step: 2 | Loss:   5.2431 | w0: 0.2154 | w1: 0.7846 | r0: 0.2735 | r1: 0.4774 | sd0: 0.9993 | sd1: 1.0081 | lr : 0.19988612 
Step: 3 | Loss:  91.3073 | w0: 0.9628 | w1: 0.0372 | r0: 0.0914 | r1: 0.2341 | sd0: 1.0165 | sd1: 1.0226 | lr : 0.19988612 
Step: 0 | Loss:  26.2754 | w0: 0.0013 | w1: 0.9987 | r0: 0.3720 | r1: 0.0685 | sd0: 0.9877 | sd1: 1.0048 | lr : 0.19986793 
Step: 1 | Loss:   2.7387 | w0: 0.3439 | w1: 0.6561 | r0: 0.3292 | r1: 0.7985 | sd0: 0.9884 | sd1: 1.0033 | lr : 0.19986793 
Step: 2 | Loss:   8.1208 | w0: 0.2416 | w1: 0.7584 | r0: 0.2785 | r1: 0.4598 | sd0: 0.9982 | sd1: 1.0062 | lr : 0.19986793 
Step: 3 | Loss:  59.1644 | w0: 0.9613 | w1: 0.0387 | r0: 0.0886 | r1: 0.2386 | sd0: 1.0139 | sd1: 1.0219 | lr : 0.19986793 
