Model already exists: ../epd-solver/src/ffhq/edm-ffhq-64x64-uncond-vp.pkl
Loading the pre-trained diffusion model from "../epd-solver/src/ffhq/edm-ffhq-64x64-uncond-vp.pkl"...
Constructing predictor...
Setting up optimizer...
Using Cosince Annealing Learning Rate
Training for 10 kimg...

/root/autodl-tmp/epd-solver/solver_utils.py:38: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_d = 2 * (np.log(torch.tensor(sigma_min).cpu() ** 2 + 1) / epsilon_s - np.log(torch.tensor(sigma_max).cpu() ** 2 + 1)) / (epsilon_s - 1)
/root/autodl-tmp/epd-solver/solver_utils.py:39: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_min = np.log(torch.tensor(sigma_max).cpu() ** 2 + 1) - 0.5 * vp_beta_d
Step: 0 | Loss:  12.6553 | w0: 0.8896 | w1: 0.1104 | r0: 0.3078 | r1: 0.6019 | st0: 1.0183 | st1: 0.9809 | sd0: 1.0009 | sd1: 1.0176 | lr : 0.20000000 
Step: 1 | Loss:   3.5947 | w0: 0.8635 | w1: 0.1365 | r0: 0.2179 | r1: 0.5818 | st0: 0.9768 | st1: 0.9648 | sd0: 0.9779 | sd1: 1.0043 | lr : 0.20000000 
Step: 2 | Loss:   4.7246 | w0: 0.1764 | w1: 0.8236 | r0: 0.5839 | r1: 0.3445 | st0: 1.0350 | st1: 1.0511 | sd0: 0.9933 | sd1: 0.9892 | lr : 0.20000000 
Step: 3 | Loss:  88.3997 | w0: 0.3866 | w1: 0.6134 | r0: 0.2738 | r1: 0.2770 | st0: 0.9980 | st1: 0.9858 | sd0: 1.0121 | sd1: 0.9961 | lr : 0.20000000 
tick 0     kimg 0.0       time 9s           sec/tick 5.7     sec/kimg 358.72  maintenance 3.3    gpumem 15.28  reserved 15.30 
Step: 0 | Loss:   3.3063 | w0: 0.9355 | w1: 0.0645 | r0: 0.2134 | r1: 0.5021 | st0: 1.0504 | st1: 0.9436 | sd0: 0.9976 | sd1: 1.0145 | lr : 0.19999880 
Step: 1 | Loss:   3.8918 | w0: 0.6816 | w1: 0.3184 | r0: 0.3237 | r1: 0.7054 | st0: 0.9907 | st1: 0.9600 | sd0: 0.9837 | sd1: 1.0109 | lr : 0.19999880 
Step: 2 | Loss:   2.4655 | w0: 0.0828 | w1: 0.9172 | r0: 0.4766 | r1: 0.2543 | st0: 1.0553 | st1: 1.0590 | sd0: 0.9987 | sd1: 0.9945 | lr : 0.19999880 
Step: 3 | Loss:  62.8720 | w0: 0.5707 | w1: 0.4293 | r0: 0.2061 | r1: 0.2088 | st0: 1.0166 | st1: 1.0044 | sd0: 1.0163 | sd1: 1.0008 | lr : 0.19999880 
Step: 0 | Loss:  17.4402 | w0: 0.8830 | w1: 0.1170 | r0: 0.2163 | r1: 0.5676 | st0: 1.0642 | st1: 0.9173 | sd0: 1.0020 | sd1: 1.0183 | lr : 0.19999521 
Step: 1 | Loss:   9.3142 | w0: 0.5313 | w1: 0.4687 | r0: 0.3842 | r1: 0.7297 | st0: 1.0099 | st1: 0.9800 | sd0: 0.9875 | sd1: 1.0154 | lr : 0.19999521 
Step: 2 | Loss:   2.9951 | w0: 0.0501 | w1: 0.9499 | r0: 0.4109 | r1: 0.2028 | st0: 1.0707 | st1: 1.0765 | sd0: 1.0021 | sd1: 0.9983 | lr : 0.19999521 
Step: 3 | Loss:  85.1721 | w0: 0.6634 | w1: 0.3366 | r0: 0.1633 | r1: 0.1713 | st0: 1.0287 | st1: 1.0155 | sd0: 1.0180 | sd1: 1.0031 | lr : 0.19999521 
Step: 0 | Loss:  30.7396 | w0: 0.8685 | w1: 0.1315 | r0: 0.1817 | r1: 0.6044 | st0: 1.0581 | st1: 0.9005 | sd0: 1.0034 | sd1: 1.0189 | lr : 0.19998923 
Step: 1 | Loss:  15.0974 | w0: 0.5455 | w1: 0.4545 | r0: 0.3870 | r1: 0.6797 | st0: 1.0198 | st1: 0.9904 | sd0: 0.9890 | sd1: 1.0155 | lr : 0.19998923 
Step: 2 | Loss:   4.1675 | w0: 0.0316 | w1: 0.9684 | r0: 0.3600 | r1: 0.1573 | st0: 1.0797 | st1: 1.0852 | sd0: 1.0035 | sd1: 0.9979 | lr : 0.19998923 
Step: 3 | Loss:  70.7096 | w0: 0.5633 | w1: 0.4367 | r0: 0.1615 | r1: 0.1596 | st0: 1.0174 | st1: 1.0116 | sd0: 1.0147 | sd1: 1.0010 | lr : 0.19998923 
Step: 0 | Loss:   3.1321 | w0: 0.9228 | w1: 0.0772 | r0: 0.1388 | r1: 0.6044 | st0: 1.0531 | st1: 0.8848 | sd0: 1.0000 | sd1: 1.0155 | lr : 0.19998086 
Step: 1 | Loss:   0.9705 | w0: 0.6946 | w1: 0.3054 | r0: 0.3313 | r1: 0.5862 | st0: 1.0231 | st1: 0.9969 | sd0: 0.9875 | sd1: 1.0118 | lr : 0.19998086 
Step: 2 | Loss:   2.9269 | w0: 0.0187 | w1: 0.9813 | r0: 0.3124 | r1: 0.1137 | st0: 1.0844 | st1: 1.0862 | sd0: 1.0032 | sd1: 0.9944 | lr : 0.19998086 
Step: 3 | Loss:  54.4659 | w0: 0.3894 | w1: 0.6106 | r0: 0.1849 | r1: 0.1665 | st0: 0.9997 | st1: 0.9978 | sd0: 1.0102 | sd1: 0.9966 | lr : 0.19998086 
Step: 0 | Loss:   9.7349 | w0: 0.9586 | w1: 0.0414 | r0: 0.1143 | r1: 0.6401 | st0: 1.0452 | st1: 0.8704 | sd0: 0.9960 | sd1: 1.0115 | lr : 0.19997009 
Step: 1 | Loss:   7.4524 | w0: 0.7994 | w1: 0.2006 | r0: 0.2842 | r1: 0.4991 | st0: 1.0159 | st1: 1.0037 | sd0: 0.9861 | sd1: 1.0084 | lr : 0.19997009 
Step: 2 | Loss:   2.8877 | w0: 0.0125 | w1: 0.9875 | r0: 0.2774 | r1: 0.0861 | st0: 1.0865 | st1: 1.0800 | sd0: 1.0030 | sd1: 0.9927 | lr : 0.19997009 
Step: 3 | Loss:  81.1249 | w0: 0.3269 | w1: 0.6731 | r0: 0.2008 | r1: 0.1694 | st0: 0.9893 | st1: 0.9909 | sd0: 1.0081 | sd1: 0.9960 | lr : 0.19997009 
Step: 0 | Loss:  19.1534 | w0: 0.9691 | w1: 0.0309 | r0: 0.1133 | r1: 0.7141 | st0: 1.0307 | st1: 0.8584 | sd0: 0.9948 | sd1: 1.0093 | lr : 0.19995694 
Step: 1 | Loss:  10.1095 | w0: 0.8372 | w1: 0.1628 | r0: 0.2549 | r1: 0.4327 | st0: 0.9973 | st1: 1.0074 | sd0: 0.9868 | sd1: 1.0072 | lr : 0.19995694 
Step: 2 | Loss:   2.5195 | w0: 0.0096 | w1: 0.9904 | r0: 0.2531 | r1: 0.0678 | st0: 1.0882 | st1: 1.0800 | sd0: 1.0032 | sd1: 0.9938 | lr : 0.19995694 
Step: 3 | Loss:  84.7398 | w0: 0.2795 | w1: 0.7205 | r0: 0.1828 | r1: 0.1439 | st0: 0.9971 | st1: 1.0060 | sd0: 1.0079 | sd1: 0.9981 | lr : 0.19995694 
Step: 0 | Loss:  12.8333 | w0: 0.9719 | w1: 0.0281 | r0: 0.1145 | r1: 0.7845 | st0: 1.0203 | st1: 0.8493 | sd0: 0.9958 | sd1: 1.0084 | lr : 0.19994139 
Step: 1 | Loss:   6.5229 | w0: 0.8471 | w1: 0.1529 | r0: 0.2230 | r1: 0.3828 | st0: 0.9818 | st1: 1.0100 | sd0: 0.9892 | sd1: 1.0072 | lr : 0.19994139 
Step: 2 | Loss:   2.1348 | w0: 0.0081 | w1: 0.9919 | r0: 0.2354 | r1: 0.0555 | st0: 1.0901 | st1: 1.0855 | sd0: 1.0037 | sd1: 0.9964 | lr : 0.19994139 
Step: 3 | Loss:  39.4679 | w0: 0.2227 | w1: 0.7773 | r0: 0.1633 | r1: 0.1163 | st0: 1.0068 | st1: 1.0235 | sd0: 1.0081 | sd1: 1.0003 | lr : 0.19994139 
