Model already exists: ../epd-solver/src/ffhq/edm-ffhq-64x64-uncond-vp.pkl
Loading the pre-trained diffusion model from "../epd-solver/src/ffhq/edm-ffhq-64x64-uncond-vp.pkl"...
Constructing predictor...
Setting up optimizer...
Using Cosince Annealing Learning Rate
Training for 10 kimg...

/root/autodl-tmp/epd-solver/solver_utils.py:38: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_d = 2 * (np.log(torch.tensor(sigma_min).cpu() ** 2 + 1) / epsilon_s - np.log(torch.tensor(sigma_max).cpu() ** 2 + 1)) / (epsilon_s - 1)
/root/autodl-tmp/epd-solver/solver_utils.py:39: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_min = np.log(torch.tensor(sigma_max).cpu() ** 2 + 1) - 0.5 * vp_beta_d
Step: 2 | Loss:  94.9639 | w0: 0.0670 | w1: 0.9330 | r0: 0.4917 | r1: 0.1657 | st0: 0.9893 | st1: 0.9862 | sd0: 0.9707 | sd1: 1.0058 | lr : 0.19994139 
Step: 0 | Loss:  30.0673 | w0: 0.8858 | w1: 0.1142 | r0: 0.0701 | r1: 0.4939 | st0: 0.9498 | st1: 0.9472 | sd0: 0.9932 | sd1: 1.0053 | lr : 0.19992345 
Step: 1 | Loss:   5.7861 | w0: 0.8001 | w1: 0.1999 | r0: 0.1905 | r1: 0.3767 | st0: 0.9835 | st1: 0.9764 | sd0: 0.9995 | sd1: 1.0225 | lr : 0.19992345 
Step: 2 | Loss: 167.2317 | w0: 0.0518 | w1: 0.9482 | r0: 0.4927 | r1: 0.1761 | st0: 0.9870 | st1: 0.9926 | sd0: 0.9702 | sd1: 1.0059 | lr : 0.19992345 
Step: 0 | Loss:   6.1848 | w0: 0.7774 | w1: 0.2226 | r0: 0.0744 | r1: 0.5350 | st0: 0.9431 | st1: 0.9423 | sd0: 0.9958 | sd1: 1.0072 | lr : 0.19990312 
Step: 1 | Loss:   2.4243 | w0: 0.7179 | w1: 0.2821 | r0: 0.1564 | r1: 0.3486 | st0: 0.9846 | st1: 0.9779 | sd0: 1.0020 | sd1: 1.0245 | lr : 0.19990312 
Step: 2 | Loss:  74.3653 | w0: 0.0389 | w1: 0.9611 | r0: 0.4849 | r1: 0.1700 | st0: 0.9873 | st1: 1.0066 | sd0: 0.9702 | sd1: 1.0082 | lr : 0.19990312 
Step: 0 | Loss:  19.0371 | w0: 0.6372 | w1: 0.3628 | r0: 0.0765 | r1: 0.5808 | st0: 0.9378 | st1: 0.9359 | sd0: 0.9989 | sd1: 1.0093 | lr : 0.19988039 
Step: 1 | Loss:   8.0063 | w0: 0.6387 | w1: 0.3613 | r0: 0.1316 | r1: 0.3267 | st0: 0.9849 | st1: 0.9772 | sd0: 1.0041 | sd1: 1.0260 | lr : 0.19988039 
Step: 2 | Loss: 119.4357 | w0: 0.0323 | w1: 0.9677 | r0: 0.4837 | r1: 0.1742 | st0: 0.9864 | st1: 1.0126 | sd0: 0.9701 | sd1: 1.0091 | lr : 0.19988039 
Step: 0 | Loss:  20.9217 | w0: 0.6471 | w1: 0.3529 | r0: 0.0749 | r1: 0.6059 | st0: 0.9320 | st1: 0.9281 | sd0: 1.0001 | sd1: 1.0087 | lr : 0.19985528 
Step: 1 | Loss:   8.4180 | w0: 0.6724 | w1: 0.3276 | r0: 0.1149 | r1: 0.3162 | st0: 0.9797 | st1: 0.9679 | sd0: 1.0046 | sd1: 1.0254 | lr : 0.19985528 
Step: 2 | Loss: 121.0342 | w0: 0.0314 | w1: 0.9686 | r0: 0.4930 | r1: 0.1651 | st0: 0.9841 | st1: 1.0109 | sd0: 0.9699 | sd1: 1.0079 | lr : 0.19985528 
Step: 0 | Loss:   6.2461 | w0: 0.7708 | w1: 0.2292 | r0: 0.0685 | r1: 0.6222 | st0: 0.9269 | st1: 0.9186 | sd0: 0.9996 | sd1: 1.0053 | lr : 0.19982778 
Step: 1 | Loss:   3.0862 | w0: 0.7752 | w1: 0.2248 | r0: 0.1005 | r1: 0.2995 | st0: 0.9723 | st1: 0.9563 | sd0: 1.0036 | sd1: 1.0235 | lr : 0.19982778 
Step: 2 | Loss:  84.7519 | w0: 0.0341 | w1: 0.9659 | r0: 0.5087 | r1: 0.1511 | st0: 0.9812 | st1: 1.0042 | sd0: 0.9696 | sd1: 1.0056 | lr : 0.19982778 
Step: 0 | Loss:   3.3394 | w0: 0.8732 | w1: 0.1268 | r0: 0.0592 | r1: 0.6423 | st0: 0.9224 | st1: 0.9084 | sd0: 0.9984 | sd1: 1.0014 | lr : 0.19979789 
Step: 1 | Loss:   1.8774 | w0: 0.8552 | w1: 0.1448 | r0: 0.0897 | r1: 0.2861 | st0: 0.9648 | st1: 0.9459 | sd0: 1.0023 | sd1: 1.0214 | lr : 0.19979789 
Step: 2 | Loss:  65.5531 | w0: 0.0376 | w1: 0.9624 | r0: 0.5258 | r1: 0.1485 | st0: 0.9781 | st1: 0.9972 | sd0: 0.9693 | sd1: 1.0033 | lr : 0.19979789 
Step: 0 | Loss:   9.5507 | w0: 0.9275 | w1: 0.0725 | r0: 0.0513 | r1: 0.6538 | st0: 0.9189 | st1: 0.9002 | sd0: 0.9969 | sd1: 0.9981 | lr : 0.19976562 
Step: 1 | Loss:   2.5426 | w0: 0.9081 | w1: 0.0919 | r0: 0.0839 | r1: 0.2830 | st0: 0.9590 | st1: 0.9378 | sd0: 1.0000 | sd1: 1.0190 | lr : 0.19976562 
Step: 2 | Loss:  85.0244 | w0: 0.0455 | w1: 0.9545 | r0: 0.5526 | r1: 0.1386 | st0: 0.9722 | st1: 0.9863 | sd0: 0.9687 | sd1: 0.9994 | lr : 0.19976562 
