Model already exists: ../epd-solver/src/cifar10/edm-cifar10-32x32-uncond-vp.pkl
Loading the pre-trained diffusion model from "../epd-solver/src/cifar10/edm-cifar10-32x32-uncond-vp.pkl"...
Constructing predictor...
Setting up optimizer...
Using Cosince Annealing Learning Rate
Training for 10 kimg...

/root/autodl-tmp/epd-solver/solver_utils.py:38: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_d = 2 * (np.log(torch.tensor(sigma_min).cpu() ** 2 + 1) / epsilon_s - np.log(torch.tensor(sigma_max).cpu() ** 2 + 1)) / (epsilon_s - 1)
/root/autodl-tmp/epd-solver/solver_utils.py:39: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_min = np.log(torch.tensor(sigma_max).cpu() ** 2 + 1) - 0.5 * vp_beta_d
Step: 0 | Loss:  82.8595 | w0: 0.5612 | w1: 0.4388 | r0: 0.3078 | r1: 0.6019 | st0: 0.9733 | st1: 0.9569 | sd0: 0.9880 | sd1: 0.9882 | lr : 0.20000000 
Step: 1 | Loss:  30.6686 | w0: 0.4163 | w1: 0.5837 | r0: 0.2179 | r1: 0.5818 | st0: 1.0483 | st1: 0.9845 | sd0: 1.0009 | sd1: 1.0176 | lr : 0.20000000 
Step: 2 | Loss: 130.1190 | w0: 0.5610 | w1: 0.4390 | r0: 0.5839 | r1: 0.3445 | st0: 1.0183 | st1: 0.9809 | sd0: 0.9779 | sd1: 1.0043 | lr : 0.20000000 
tick 0     kimg 0.0       time 7s           sec/tick 3.7     sec/kimg 229.22  maintenance 3.0    gpumem 6.23   reserved 6.25  
Step: 0 | Loss:  54.9109 | w0: 0.4615 | w1: 0.5385 | r0: 0.2669 | r1: 0.6487 | st0: 0.9832 | st1: 0.9665 | sd0: 0.9904 | sd1: 0.9906 | lr : 0.19999880 
Step: 1 | Loss:  18.6936 | w0: 0.3234 | w1: 0.6766 | r0: 0.1858 | r1: 0.5325 | st0: 1.0576 | st1: 0.9746 | sd0: 1.0034 | sd1: 1.0197 | lr : 0.19999880 
Step: 2 | Loss: 125.2324 | w0: 0.4614 | w1: 0.5386 | r0: 0.6315 | r1: 0.3008 | st0: 1.0084 | st1: 0.9711 | sd0: 0.9759 | sd1: 1.0068 | lr : 0.19999880 
Step: 0 | Loss:  34.5856 | w0: 0.3875 | w1: 0.6125 | r0: 0.2799 | r1: 0.6860 | st0: 0.9790 | st1: 0.9598 | sd0: 0.9927 | sd1: 0.9928 | lr : 0.19999521 
Step: 1 | Loss:  11.7425 | w0: 0.2475 | w1: 0.7525 | r0: 0.1590 | r1: 0.4929 | st0: 1.0519 | st1: 0.9663 | sd0: 1.0057 | sd1: 1.0215 | lr : 0.19999521 
Step: 2 | Loss: 121.1669 | w0: 0.3787 | w1: 0.6213 | r0: 0.6767 | r1: 0.2619 | st0: 0.9985 | st1: 0.9648 | sd0: 0.9741 | sd1: 1.0087 | lr : 0.19999521 
Step: 0 | Loss:  64.4613 | w0: 0.3094 | w1: 0.6906 | r0: 0.3013 | r1: 0.7238 | st0: 0.9740 | st1: 0.9519 | sd0: 0.9948 | sd1: 0.9949 | lr : 0.19998923 
