Model already exists: ../epd-solver/src/imagenet64/edm-imagenet-64x64-cond-adm.pkl
Loading the pre-trained diffusion model from "../epd-solver/src/imagenet64/edm-imagenet-64x64-cond-adm.pkl"...
Constructing predictor...
Setting up optimizer...
/root/autodl-tmp/conda_envs/epd/lib/python3.9/site-packages/torchvision/io/image.py:13: UserWarning: Failed to load image Python extension: /root/autodl-tmp/conda_envs/epd/lib/python3.9/site-packages/torchvision/image.so: undefined symbol: _ZN3c1017RegisterOperatorsD1Ev
  warn(f"Failed to load image Python extension: {e}")
Using Cosince Annealing Learning Rate
Training for 10 kimg...

Step: 1 | Loss:  26.3659 | w0: 0.5056 | w1: 0.4944 | r0: 0.1912 | r1: 0.3078 | st0: 1.0461 | st1: 1.0246 | sd0: 1.0125 | sd1: 1.0269 | lr : 0.19992345 
Step: 2 | Loss: 190.1500 | w0: 0.1745 | w1: 0.8255 | r0: 0.3939 | r1: 0.1038 | st0: 0.9982 | st1: 1.0114 | sd0: 0.9681 | sd1: 0.9973 | lr : 0.19992345 
Step: 0 | Loss:  59.1964 | w0: 0.3038 | w1: 0.6962 | r0: 0.4569 | r1: 0.6713 | st0: 0.9872 | st1: 1.0028 | sd0: 1.0023 | sd1: 1.0008 | lr : 0.19990312 
Step: 1 | Loss:  21.8053 | w0: 0.5314 | w1: 0.4686 | r0: 0.1958 | r1: 0.2981 | st0: 1.0471 | st1: 1.0266 | sd0: 1.0122 | sd1: 1.0266 | lr : 0.19990312 
Step: 2 | Loss: 151.2445 | w0: 0.1469 | w1: 0.8531 | r0: 0.3748 | r1: 0.0877 | st0: 0.9946 | st1: 1.0090 | sd0: 0.9669 | sd1: 0.9956 | lr : 0.19990312 
Step: 0 | Loss:  39.9443 | w0: 0.3177 | w1: 0.6823 | r0: 0.4489 | r1: 0.6523 | st0: 0.9888 | st1: 1.0051 | sd0: 1.0021 | sd1: 1.0000 | lr : 0.19988039 
Step: 1 | Loss:  15.6192 | w0: 0.5549 | w1: 0.4451 | r0: 0.2022 | r1: 0.2946 | st0: 1.0466 | st1: 1.0272 | sd0: 1.0116 | sd1: 1.0262 | lr : 0.19988039 
Step: 2 | Loss: 152.2351 | w0: 0.1276 | w1: 0.8724 | r0: 0.3583 | r1: 0.0763 | st0: 0.9912 | st1: 1.0062 | sd0: 0.9659 | sd1: 0.9942 | lr : 0.19988039 
Step: 0 | Loss:  46.2000 | w0: 0.3334 | w1: 0.6666 | r0: 0.4386 | r1: 0.6305 | st0: 0.9906 | st1: 1.0078 | sd0: 1.0017 | sd1: 0.9990 | lr : 0.19985528 
Step: 1 | Loss:  24.0519 | w0: 0.5797 | w1: 0.4203 | r0: 0.2171 | r1: 0.2994 | st0: 1.0456 | st1: 1.0276 | sd0: 1.0107 | sd1: 1.0256 | lr : 0.19985528 
