Model already exists: ../epd-solver/src/lsun_bedroom_ldm/model.ckpt
The vq-f4 model already exists: ../epd-solver/models/ldm_models/first_stage_models/vq-f4/model.ckpt
Loading the pre-trained diffusion model from "../epd-solver/src/lsun_bedroom_ldm/model.ckpt"...
Global Step: 1900000
LatentDiffusion: Running in eps-prediction mode
DiffusionWrapper has 274.06 M params.
Keeping EMAs of 370.
making attention of type 'vanilla' with 512 in_channels
Working with z of shape (1, 3, 64, 64) = 12288 dimensions.
making attention of type 'vanilla' with 512 in_channels
Restored from models/ldm_models/first_stage_models/vq-f4/model.ckpt with 0 missing and 55 unexpected keys
Training LatentDiffusion as an unconditional model.
Constructing predictor...
Setting up optimizer...
Using Cosince Annealing Learning Rate
Training for 10 kimg...

/root/autodl-tmp/epd-solver/solver_utils.py:38: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_d = 2 * (np.log(torch.tensor(sigma_min).cpu() ** 2 + 1) / epsilon_s - np.log(torch.tensor(sigma_max).cpu() ** 2 + 1)) / (epsilon_s - 1)
/root/autodl-tmp/epd-solver/solver_utils.py:39: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_min = np.log(torch.tensor(sigma_max).cpu() ** 2 + 1) - 0.5 * vp_beta_d
Step: 0 | Loss:  17.8908 | w0: 0.2035 | w1: 0.7965 | r0: 0.3827 | r1: 0.1121 | sd0: 0.9992 | sd1: 1.0004 | lr : 0.09990427 
Step: 1 | Loss: 188.9101 | w0: 0.1133 | w1: 0.8867 | r0: 0.2314 | r1: 0.2038 | sd0: 0.9917 | sd1: 1.0081 | lr : 0.09990427 
Step: 0 | Loss:  16.9540 | w0: 0.2184 | w1: 0.7816 | r0: 0.3855 | r1: 0.1109 | sd0: 0.9988 | sd1: 0.9991 | lr : 0.09988898 
Step: 1 | Loss: 100.7202 | w0: 0.1159 | w1: 0.8841 | r0: 0.2330 | r1: 0.2136 | sd0: 0.9908 | sd1: 1.0066 | lr : 0.09988898 
Step: 0 | Loss:  14.2382 | w0: 0.2311 | w1: 0.7689 | r0: 0.3901 | r1: 0.1104 | sd0: 0.9987 | sd1: 0.9985 | lr : 0.09987256 
Step: 1 | Loss: 116.3607 | w0: 0.1183 | w1: 0.8817 | r0: 0.2350 | r1: 0.2230 | sd0: 0.9901 | sd1: 1.0053 | lr : 0.09987256 
Step: 0 | Loss:  13.3236 | w0: 0.2438 | w1: 0.7562 | r0: 0.3965 | r1: 0.1108 | sd0: 0.9987 | sd1: 0.9980 | lr : 0.09985501 
Step: 1 | Loss:  94.4475 | w0: 0.1196 | w1: 0.8804 | r0: 0.2365 | r1: 0.2304 | sd0: 0.9897 | sd1: 1.0045 | lr : 0.09985501 
Step: 0 | Loss:  17.7836 | w0: 0.2565 | w1: 0.7435 | r0: 0.4034 | r1: 0.1127 | sd0: 0.9988 | sd1: 0.9979 | lr : 0.09983633 
Step: 1 | Loss: 151.2824 | w0: 0.1199 | w1: 0.8801 | r0: 0.2352 | r1: 0.2315 | sd0: 0.9897 | sd1: 1.0043 | lr : 0.09983633 
Step: 0 | Loss:  12.8995 | w0: 0.2660 | w1: 0.7340 | r0: 0.4082 | r1: 0.1145 | sd0: 0.9992 | sd1: 0.9980 | lr : 0.09981652 
Step: 1 | Loss:  46.8556 | w0: 0.1191 | w1: 0.8809 | r0: 0.2334 | r1: 0.2290 | sd0: 0.9899 | sd1: 1.0046 | lr : 0.09981652 
Step: 0 | Loss:  11.9563 | w0: 0.2714 | w1: 0.7286 | r0: 0.4109 | r1: 0.1145 | sd0: 0.9996 | sd1: 0.9983 | lr : 0.09979559 
Step: 1 | Loss:  68.7368 | w0: 0.1177 | w1: 0.8823 | r0: 0.2310 | r1: 0.2231 | sd0: 0.9903 | sd1: 1.0052 | lr : 0.09979559 
Step: 0 | Loss:  11.6585 | w0: 0.2750 | w1: 0.7250 | r0: 0.4133 | r1: 0.1124 | sd0: 1.0000 | sd1: 0.9986 | lr : 0.09977352 
